Id,pais,provincia_departamento,ciudad,property_type,operation_type,rooms,bedrooms,bathrooms,surface_total,currency,price
135,Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Departamento,Venta,3.0,2.0,1.0,53.0,USD,117000.0
136,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,2.0,110.0,USD,500000.0
137,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,Venta,2.0,1.0,1.0,50.0,USD,103000.0
138,Argentina,Capital Federal,Belgrano,Departamento,Venta,2.0,1.0,1.0,71.0,USD,163873.0
139,Argentina,Capital Federal,Monserrat,Departamento,Venta,2.0,1.0,1.0,35.0,USD,73000.0
140,Colombia,Atlántico,Barranquilla,Apartamento,Venta,4.0,4.0,3.0,190.0,USD,101844.0
141,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,142.0,USD,137077.0
142,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,2.0,92.0,USD,575000.0
143,Colombia,Cundinamarca,Gachancipá,Apartamento,Venta,3.0,3.0,1.0,53.0,USD,38536.0
144,Argentina,Bs.As. G.B.A. Zona Sur,Avellaneda,Departamento,Venta,2.0,1.0,1.0,37.0,USD,64500.0
145,Argentina,Capital Federal,Congreso,Departamento,Venta,2.0,1.0,1.0,45.0,USD,110000.0
146,Argentina,Capital Federal,Recoleta,Departamento,Venta,2.0,1.0,1.0,37.0,USD,100000.0
147,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,176.0,USD,217506.0
148,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,78.0,USD,68814.0
149,Colombia,Valle del Cauca,Cali,Apartamento,Venta,2.0,2.0,2.0,56.0,USD,50922.0
150,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,4.0,3.0,2.0,110.0,USD,410000.0
151,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,138.0,USD,165015.0
152,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,3.0,2.0,3.0,90.0,USD,411000.0
153,Argentina,Santa Fe,Rosario,Departamento,Venta,4.0,2.0,1.0,58.0,USD,75000.0
154,Argentina,Capital Federal,Palermo,Departamento,Venta,1.0,1.0,1.0,43.0,USD,139500.0
155,Argentina,Capital Federal,Caballito,Departamento,Venta,2.0,1.0,1.0,42.0,USD,112000.0
156,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,42.0,USD,114800.0
157,Argentina,Capital Federal,Belgrano,Departamento,Venta,1.0,1.0,1.0,36.0,USD,109000.0
158,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,2.0,70.0,USD,129721.0
159,Colombia,Valle del Cauca,Cali,Apartamento,Venta,3.0,3.0,2.0,58.0,USD,26149.0
160,Colombia,Cundinamarca,Funza,Apartamento,Venta,3.0,3.0,2.0,58.0,USD,46243.0
161,Argentina,Capital Federal,Barrio Norte,Departamento,Venta,2.0,1.0,1.0,35.0,USD,88000.0
162,Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Departamento,Venta,1.0,1.0,1.0,30.0,USD,69900.0
163,Colombia,Antioquia,La Estrella,Apartamento,Venta,2.0,2.0,1.0,58.0,USD,33031.0
164,Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,Venta,2.0,1.0,1.0,25.0,USD,45000.0
165,Colombia,Valle del Cauca,Cali,Apartamento,Venta,2.0,2.0,2.0,55.0,USD,44041.0
166,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,44.0,USD,118000.0
167,Argentina,Capital Federal,Recoleta,Departamento,Venta,3.0,2.0,2.0,69.0,USD,128000.0
168,Colombia,Antioquia,Bello,Apartamento,Venta,3.0,3.0,2.0,64.0,USD,58354.0
169,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,1.0,1.0,1.0,33.0,USD,60006.0
170,Argentina,Capital Federal,Almagro,Departamento,Venta,4.0,3.0,2.0,101.0,USD,230001.0
171,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,1.0,1.0,2.0,55.0,USD,85329.0
172,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,3.0,2.0,2.0,70.0,USD,160000.0
173,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,Venta,2.0,1.0,1.0,45.0,USD,78000.0
174,Argentina,Capital Federal,San Telmo,Departamento,Venta,4.0,2.0,1.0,76.0,USD,138000.0
175,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,3.0,2.0,1.0,60.0,USD,68000.0
176,Colombia,Antioquia,Medellín,Apartamento,Venta,4.0,4.0,3.0,162.0,USD,79824.0
177,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Departamento,Venta,3.0,2.0,1.0,60.0,USD,48000.0
178,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,2.0,2.0,2.0,70.0,USD,89458.0
179,Argentina,Capital Federal,San Telmo,Departamento,Venta,3.0,2.0,2.0,70.0,USD,140000.0
180,Colombia,Risaralda,Pereira,Apartamento,Venta,1.0,1.0,2.0,88.0,USD,77071.0
181,Colombia,Antioquia,Itagui,Apartamento,Venta,3.0,3.0,2.0,88.0,USD,88081.0
182,Argentina,Capital Federal,Puerto Madero,Departamento,Venta,2.0,1.0,1.0,54.0,USD,650000.0
183,Argentina,Capital Federal,Palermo,Departamento,Venta,5.0,3.0,4.0,249.0,USD,2350000.0
184,Argentina,Capital Federal,Colegiales,Departamento,Venta,2.0,1.0,1.0,34.0,USD,115000.0
185,Argentina,Capital Federal,Liniers,Departamento,Venta,2.0,1.0,1.0,32.0,USD,55000.0
186,Argentina,Capital Federal,Recoleta,Departamento,Venta,1.0,1.0,1.0,20.0,USD,80000.0
187,Argentina,Buenos Aires Interior,Bahía Blanca,Departamento,Venta,2.0,1.0,1.0,40.0,USD,68000.0
188,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,3.0,3.0,2.0,77.0,USD,93000.0
189,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,1.0,1.0,2.0,80.0,USD,174511.0
190,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,1.0,52.0,USD,178000.0
191,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,1.0,58.0,USD,163000.0
192,Argentina,Capital Federal,Almagro,Departamento,Venta,2.0,1.0,1.0,42.0,USD,112000.0
193,Argentina,Capital Federal,Almagro,Departamento,Venta,2.0,1.0,1.0,40.0,USD,124000.0
194,Argentina,Río Negro,San Carlos de Bariloche,Departamento,Venta,3.0,2.0,1.0,52.0,USD,120000.0
195,Colombia,Antioquia,Itagui,Apartamento,Venta,3.0,3.0,2.0,66.0,USD,46793.0
196,Argentina,Capital Federal,Palermo,Departamento,Venta,4.0,3.0,2.0,160.0,USD,950000.0
197,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,101.0,USD,63309.0
198,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,Venta,2.0,1.0,1.0,43.0,USD,90000.0
199,Argentina,Capital Federal,Belgrano,Departamento,Venta,3.0,2.0,2.0,88.0,USD,225000.0
200,Argentina,Capital Federal,Palermo,Departamento,Venta,3.0,2.0,2.0,99.0,USD,690000.0
201,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,100.0,USD,77071.0
202,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,112.0,USD,110983.0
203,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,3.0,115.0,USD,99092.0
204,Argentina,Capital Federal,Recoleta,Departamento,Venta,4.0,2.0,2.0,142.0,USD,860000.0
205,Argentina,Santa Fe,Rosario,Departamento,Venta,2.0,1.0,1.0,47.0,USD,95000.0
206,Colombia,Atlántico,Barranquilla,Apartamento,Venta,1.0,1.0,1.0,33.0,USD,35783.0
207,Argentina,Capital Federal,Balvanera,Departamento,Venta,2.0,1.0,1.0,40.0,USD,89000.0
208,Argentina,Buenos Aires Interior,Junín,Departamento,Venta,2.0,1.0,1.0,42.0,USD,67000.0
209,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,2.0,128.0,USD,132122.0
210,Argentina,Santa Fe,Rosario,Departamento,Venta,4.0,3.0,2.0,126.0,USD,567000.0
211,Colombia,Antioquia,Envigado,Apartamento,Venta,3.0,3.0,2.0,98.0,USD,110102.0
212,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,4.0,193.0,USD,239472.0
213,Argentina,Capital Federal,Almagro,Departamento,Venta,3.0,2.0,2.0,74.0,USD,183000.0
214,Argentina,Capital Federal,Recoleta,Departamento,Venta,1.0,1.0,1.0,37.0,USD,135000.0
215,Argentina,Capital Federal,Recoleta,Departamento,Venta,9.0,4.0,3.0,329.0,USD,899999.0
216,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,2.0,1.0,1.0,53.0,USD,145000.0
217,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,Venta,3.0,1.0,1.0,34.0,USD,57000.0
218,Colombia,Antioquia,Sabaneta,Apartamento,Venta,3.0,3.0,2.0,80.0,USD,81200.0
219,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,3.0,3.0,3.0,82.0,USD,126617.0
220,Argentina,Capital Federal,Congreso,Departamento,Venta,3.0,2.0,1.0,43.0,USD,89000.0
221,Argentina,Capital Federal,Mataderos,Departamento,Venta,2.0,1.0,1.0,39.0,USD,80000.0
222,Argentina,Córdoba,Córdoba,Departamento,Venta,4.0,3.0,3.0,128.0,USD,180000.0
223,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,2.0,1.0,1.0,54.0,USD,108000.0
224,Argentina,Capital Federal,Villa Santa Rita,Departamento,Venta,1.0,1.0,1.0,32.0,USD,115000.0
225,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,1.0,1.0,1.0,25.0,USD,40900.0
226,Argentina,Capital Federal,Villa Crespo,Departamento,Venta,5.0,3.0,3.0,170.0,USD,410000.0
227,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,3.0,2.0,1.0,70.0,USD,95000.0
228,Argentina,Capital Federal,Belgrano,Departamento,Venta,3.0,2.0,1.0,105.0,USD,350000.0
229,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,1.0,1.0,1.0,41.0,USD,66061.0
230,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,Venta,4.0,3.0,2.0,105.0,USD,289000.0
231,Argentina,Capital Federal,Palermo,Departamento,Venta,1.0,1.0,1.0,51.0,USD,145000.0
232,Argentina,Santa Fe,Rosario,Departamento,Venta,6.0,2.0,1.0,61.0,USD,80000.0
233,Argentina,Santa Fe,Rosario,Departamento,Venta,2.0,1.0,1.0,43.0,USD,82500.0
234,Colombia,Atlántico,Barranquilla,Apartamento,Venta,3.0,3.0,4.0,134.0,USD,168443.0
235,Argentina,Capital Federal,Balvanera,Departamento,Venta,3.0,2.0,1.0,43.0,USD,78000.0
236,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,3.0,2.0,1.0,40.0,USD,98000.0
237,Colombia,Antioquia,Medellín,Apartamento,Venta,3.0,3.0,3.0,202.0,USD,217451.0
238,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,2.0,1.0,2.0,55.0,USD,99900.0
239,Argentina,Santa Fe,Rosario,Departamento,Venta,5.0,2.0,1.0,121.0,USD,115000.0
240,Argentina,Capital Federal,Almagro,Departamento,Venta,4.0,3.0,1.0,100.0,USD,174500.0
241,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,Venta,3.0,2.0,1.0,55.0,USD,119900.0
242,Colombia,Cundinamarca,Bogotá D.C,Apartamento,Venta,4.0,4.0,5.0,318.0,USD,660611.0
243,Colombia,Bolívar,Cartagena,Apartamento,Venta,2.0,2.0,1.0,53.0,USD,68814.0
244,Argentina,Bs.As. G.B.A. Zona Oeste,Moreno,Departamento,Venta,3.0,2.0,3.0,90.0,USD,130000.0
245,Argentina,Capital Federal,Belgrano,Departamento,Venta,1.0,1.0,1.0,38.0,USD,100277.0
246,Colombia,Valle del Cauca,Jamundí,Apartamento,Venta,3.0,3.0,3.0,102.0,USD,88081.0
