id,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,revenue
65,0,0.0,0,0.0,3,0.0,0.166666667,0.177777778,0.0,0.0,May,3,2,3,13,Returning_Visitor,False,0
66,0,0.0,0,0.0,47,1697.0583329999997,0.004347826,0.019565217,1.9907886719999999,0.0,Dec,2,2,7,1,Returning_Visitor,False,0
67,4,98.6,0,0.0,10,63.6,0.090909091,0.090909091,0.0,0.0,Sep,1,1,4,3,Returning_Visitor,False,0
68,0,0.0,0,0.0,13,751.5416667000001,0.033846153999999996,0.06025641,0.0,0.0,Dec,1,1,7,2,Returning_Visitor,False,0
69,0,0.0,0,0.0,20,196.83333330000002,0.04,0.06333333299999999,0.0,0.6,May,2,2,1,4,Returning_Visitor,False,0
70,6,184.2727273,0,0.0,32,1427.689394,0.010810811000000002,0.01966967,13.49031898,0.0,Nov,2,2,1,13,Returning_Visitor,False,1
71,4,87.0,5,242.75,61,4081.041667,0.0,0.019375,0.0,0.0,Nov,2,5,6,2,Returning_Visitor,True,0
72,2,131.5,0,0.0,26,1960.475,0.0074074069999999995,0.024074073999999997,33.69233226,0.0,Nov,1,1,1,2,Returning_Visitor,False,1
73,0,0.0,0,0.0,12,70.0,0.15,0.166666667,0.0,0.4,May,1,1,3,3,Returning_Visitor,False,0
74,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,0
75,0,0.0,0,0.0,3,29.0,0.0,0.066666667,0.0,0.0,May,2,2,1,4,Returning_Visitor,True,0
76,0,0.0,0,0.0,49,1023.96,0.034693878,0.057823129,0.0,0.0,Aug,2,2,3,3,Returning_Visitor,False,0
77,1,4.0,0,0.0,13,161.16666669999998,0.024615385,0.061538462,0.0,0.6,May,2,5,9,5,Returning_Visitor,False,0
78,0,0.0,0,0.0,41,3389.8,0.032478632,0.05019425,0.0,0.0,Sep,2,4,3,1,Returning_Visitor,False,0
79,0,0.0,0,0.0,27,652.7,0.0,0.02962963,0.0,0.0,Jul,2,2,7,1,Returning_Visitor,True,0
80,11,828.0526316,6,389.3666667,57,2099.930554,0.003333333,0.009142856999999999,3.2986800000000005,0.0,Mar,2,2,1,2,Returning_Visitor,False,0
81,7,165.91666669999998,2,150.5,42,3127.078788,0.009614511999999999,0.021287825,0.0,0.0,Nov,1,1,3,2,Returning_Visitor,False,0
82,0,0.0,0,0.0,4,75.5,0.0,0.05,0.0,0.0,Nov,2,2,1,8,New_Visitor,False,0
83,5,51.5,0,0.0,2,6.0,0.0,0.033333333,0.0,0.0,Mar,2,5,2,1,Returning_Visitor,False,0
84,0,0.0,0,0.0,15,263.25,0.013333333000000001,0.04,0.0,0.0,Nov,1,1,3,10,Returning_Visitor,True,0
85,1,45.0,0,0.0,8,183.0,0.0,0.011111111000000002,0.0,0.0,May,1,1,1,4,Returning_Visitor,False,0
86,0,0.0,0,0.0,10,130.1666667,0.055555556,0.083333333,26.66133333,0.0,Mar,3,2,1,8,Returning_Visitor,False,0
87,8,46.875,3,10.0,111,5358.375439,0.0,0.011957671999999999,10.21771151,0.0,Nov,2,2,1,11,Returning_Visitor,False,1
88,0,0.0,0,0.0,30,1370.833333,0.042145594,0.066781609,0.0,0.0,May,3,2,2,4,Returning_Visitor,False,0
89,0,0.0,0,0.0,2,53.5,0.05,0.15,0.0,0.0,Dec,3,3,5,20,Returning_Visitor,False,0
90,5,53.3,0,0.0,4,102.2,0.0,0.025,31.44363136,0.0,Oct,2,2,6,2,Returning_Visitor,False,1
91,0,0.0,0,0.0,6,199.25,0.0,0.033333333,0.0,0.0,Dec,2,4,1,3,Other,False,0
92,0,0.0,0,0.0,102,4509.0,0.011764706000000002,0.037679739,0.0,0.0,Nov,2,2,7,1,Returning_Visitor,False,0
93,0,0.0,0,0.0,47,902.77,0.022222222000000003,0.04037037,0.0,0.0,Jul,3,2,8,1,Returning_Visitor,False,0
94,0,0.0,1,93.0,30,1045.833333,0.012903226,0.035483871,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,False,0
95,0,0.0,0,0.0,3,125.0,0.05,0.075,0.0,0.8,May,2,2,1,4,Returning_Visitor,False,0
96,0,0.0,0,0.0,10,902.6666667000002,0.0,0.03,0.0,0.0,Nov,2,2,3,20,Returning_Visitor,True,0
97,0,0.0,0,0.0,4,228.5,0.033333333,0.03,0.0,0.4,May,3,2,6,1,Returning_Visitor,False,0
98,0,0.0,0,0.0,14,264.5,0.0,0.007142857,0.0,0.0,Mar,2,2,1,10,Returning_Visitor,False,0
99,0,0.0,0,0.0,17,557.4,0.0,0.011111111000000002,83.93274289,0.0,Sep,2,2,2,2,New_Visitor,True,1
100,0,0.0,0,0.0,4,44.0,0.025,0.083333333,0.0,0.2,May,2,2,5,6,Returning_Visitor,False,0
101,1,76.0,0,0.0,19,1263.333333,0.011764706000000002,0.023529412000000003,60.34235294,0.6,May,2,2,1,3,Returning_Visitor,False,1
102,4,57.5,0,0.0,27,608.4,0.014814815,0.016722783,7.108148148,0.0,May,2,2,3,13,Returning_Visitor,False,0
103,2,24.6,0,0.0,26,779.5051587,0.011111111000000002,0.034403292,12.55220741,0.0,Mar,1,1,3,1,Returning_Visitor,True,1
104,0,0.0,0,0.0,41,1444.166667,0.009756098000000001,0.026829268,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,0
105,2,39.4,0,0.0,62,2021.747727,0.003076923,0.015641026000000002,0.0,0.0,Oct,2,2,1,4,Returning_Visitor,False,0
106,2,60.0,6,459.0,17,1370.067857,0.02173913,0.035072464,0.0,0.0,May,1,1,6,1,Returning_Visitor,False,0
107,0,0.0,0,0.0,49,1571.12381,0.0042553190000000005,0.010638298000000001,0.0,0.0,Jul,2,2,8,4,New_Visitor,True,0
108,1,12.0,2,11.0,18,974.1666667000002,0.005454545,0.032251082,0.0,0.0,Nov,3,2,1,2,New_Visitor,False,0
109,13,456.9880952,3,72.83333333,39,976.7103175000001,0.004166667,0.009722221999999999,39.65538156,0.0,Mar,1,1,1,1,Returning_Visitor,True,1
110,0,0.0,0,0.0,14,320.25,0.0,0.013333333000000001,52.17313647,0.0,Oct,2,2,1,3,Returning_Visitor,True,1
111,0,0.0,0,0.0,20,457.58333330000005,0.022222222000000003,0.04444444400000001,0.0,0.0,May,2,2,9,4,Returning_Visitor,True,0
112,0,0.0,2,66.0,27,875.5,0.0,0.014367816,0.0,0.0,May,4,2,1,2,Returning_Visitor,True,0
113,1,44.0,0,0.0,25,773.4666667,0.0,0.029142857,10.3572,0.0,Mar,2,2,1,2,Returning_Visitor,True,1
114,0,0.0,0,0.0,6,86.53333333,0.0,0.066666667,0.0,0.0,Oct,1,1,7,2,Returning_Visitor,True,0
115,0,0.0,0,0.0,19,771.75,0.021052632,0.061403509,0.0,0.0,Nov,3,2,3,1,Returning_Visitor,False,0
116,0,0.0,0,0.0,27,780.1666667000001,0.0,0.022222222000000003,0.0,0.0,Mar,2,4,3,2,Returning_Visitor,False,0
117,12,187.775,0,0.0,98,2138.4812629999997,0.0018867920000000002,0.017985395,0.12967689300000002,0.0,Jul,2,5,3,2,Returning_Visitor,True,0
118,6,241.16666669999998,0,0.0,39,1513.566667,0.005128205,0.021367521,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,0
119,0,0.0,0,0.0,5,266.3333333,0.04,0.08,0.0,0.0,Mar,3,2,1,3,Returning_Visitor,False,0
120,1,26.0,1,0.0,55,872.4,0.0035087720000000003,0.01754386,0.0,0.0,Mar,2,5,1,1,Returning_Visitor,True,0
121,0,0.0,1,68.5,25,927.0,0.007692308,0.034615385,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,True,0
122,10,303.9279762,0,0.0,82,1853.2865379999998,0.0,0.015957265,11.01940759,0.0,Dec,2,2,3,2,Returning_Visitor,False,0
123,2,18.0,0,0.0,5,298.0,0.0,0.028571429,0.0,0.8,Feb,2,2,8,4,Returning_Visitor,False,0
124,0,0.0,0,0.0,12,348.75,0.0,0.027777778,0.0,0.0,Nov,3,2,4,3,Returning_Visitor,False,0
125,13,123.875,0,0.0,87,2903.7644170000003,0.00625,0.015280206000000001,1.7733693330000002,0.0,Dec,2,2,3,2,Returning_Visitor,False,0
126,0,0.0,0,0.0,7,70.4,0.11428571400000001,0.12857142900000001,0.0,0.0,Jul,3,2,4,1,Returning_Visitor,False,0
127,6,143.0,0,0.0,32,2289.1,0.0,0.001015625,62.33035594,0.0,Nov,3,2,9,3,New_Visitor,True,0
128,0,0.0,0,0.0,27,1166.683333,0.014074073999999999,0.026492375,0.0,0.0,Nov,3,2,7,3,Returning_Visitor,False,0
129,0,0.0,0,0.0,7,236.0,0.057142857000000005,0.085714286,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,False,0
130,1,33.5,0,0.0,37,1631.416667,0.0,0.009009009,13.82316952,0.0,Dec,2,2,1,1,Returning_Visitor,False,0
131,0,0.0,0,0.0,17,349.375,0.0125,0.01875,0.0,0.0,Nov,3,2,9,20,Returning_Visitor,False,0
132,0,0.0,0,0.0,28,512.7166666999999,0.007142857,0.013571429,1.401949127,0.0,Jul,2,2,7,1,Returning_Visitor,True,1
133,0,0.0,0,0.0,4,103.8,0.1,0.15,0.0,0.0,Jul,1,1,1,1,Returning_Visitor,False,0
134,0,0.0,0,0.0,13,208.83333330000002,0.030769231,0.088461538,0.0,0.4,May,2,2,6,4,Returning_Visitor,False,0
135,4,192.5714286,8,1193.125,146,8150.556716,0.0012903230000000001,0.01127957,1.8429136169999998,0.0,Nov,2,4,4,2,Returning_Visitor,True,0
136,0,0.0,0,0.0,26,470.8166666999999,0.005128205,0.042307692,0.0,0.0,Nov,3,2,4,11,Returning_Visitor,True,0
137,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,0
138,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,3,2,3,3,Returning_Visitor,False,0
139,4,396.5,0,0.0,6,415.5,0.0,0.0125,0.0,0.0,Dec,1,1,3,8,New_Visitor,False,0
140,0,0.0,0,0.0,7,1689.0,0.028571429,0.085714286,0.0,0.6,May,2,2,3,3,Returning_Visitor,False,0
141,2,169.5,2,105.0,35,990.4642857000001,0.010810811000000002,0.027027027000000002,14.78162714,0.0,Nov,1,1,1,2,Returning_Visitor,True,1
142,2,59.5,0,0.0,3,67.66666667,0.0,0.02,0.0,0.0,Nov,3,2,8,2,New_Visitor,False,0
143,8,131.3333333,1,4.0,95,2107.583333,0.0,0.004166667,0.0,0.0,May,2,2,4,4,Returning_Visitor,True,0
144,3,73.6,0,0.0,10,104.95,0.0,0.0018518520000000002,0.0,0.0,Oct,3,2,3,2,Returning_Visitor,True,0
145,0,0.0,0,0.0,9,218.0,0.0,0.033333333,0.0,0.0,Mar,2,2,6,3,Returning_Visitor,True,0
146,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,0
147,0,0.0,0,0.0,8,101.75,0.025,0.075,0.0,0.0,Nov,2,2,6,2,Returning_Visitor,False,0
148,0,0.0,0,0.0,6,140.0,0.0,0.033333333,0.0,0.0,May,2,6,3,6,Returning_Visitor,False,0
149,0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,May,2,2,2,3,Returning_Visitor,False,0
150,1,88.0,3,540.3333332999999,57,1656.410714,0.0,0.002259887,0.0,0.0,Nov,2,4,9,3,Returning_Visitor,False,0
151,0,0.0,0,0.0,27,589.5738094999999,0.0074074069999999995,0.005555556,0.0,0.0,May,3,2,3,4,Returning_Visitor,True,0
152,0,0.0,0,0.0,13,1985.0,0.016666667,0.05,0.0,0.0,Nov,4,1,7,6,Returning_Visitor,False,0
153,2,16.0,0,0.0,42,1743.517857,0.0,0.012804878,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,0
154,3,40.55,0,0.0,10,151.0818182,0.008333333,0.038888888999999996,0.0,0.0,Jul,2,2,1,5,New_Visitor,False,0
155,2,41.4,0,0.0,28,1576.966667,0.0,0.018452381,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,True,0
156,3,26.7,2,49.4,16,703.3,0.0,0.01,0.0,0.0,Aug,2,4,3,4,Returning_Visitor,False,0
157,0,0.0,0,0.0,21,604.5,0.0,0.019047619,0.0,0.0,Nov,2,2,1,13,New_Visitor,False,0
158,0,0.0,0,0.0,11,267.5666667,0.0,0.009090909,7.68745056,0.0,Oct,2,2,1,3,New_Visitor,False,1
159,1,11.42857143,0,0.0,13,833.2333332999999,0.0,0.005555556,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,True,0
160,0,0.0,0,0.0,7,314.5,0.033333333,0.066666667,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,0
161,0,0.0,0,0.0,81,1950.840873,0.0049382720000000005,0.024773662999999998,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,1
162,0,0.0,0,0.0,10,228.0,0.0,0.06,0.0,0.0,Nov,2,10,1,1,Returning_Visitor,True,0
163,0,0.0,0,0.0,8,444.63333330000006,0.0,0.025,0.0,0.0,Nov,2,4,1,10,Returning_Visitor,False,0
164,0,0.0,0,0.0,20,528.0,0.0,0.0075,31.1904,0.6,May,2,2,1,4,New_Visitor,False,1
165,0,0.0,0,0.0,15,242.91666669999998,0.006666666999999999,0.006666666999999999,0.0,0.0,Nov,3,2,1,11,Returning_Visitor,True,0
166,5,82.0,1,137.5,118,2595.095833,0.001680672,0.012371615,38.7483363,0.0,Nov,2,2,1,1,Returning_Visitor,False,1
167,1,10.5,0,0.0,7,525.0,0.0,0.00952381,0.0,0.0,Mar,2,4,4,8,Returning_Visitor,False,0
168,0,0.0,0,0.0,9,125.5,0.0,0.0074074069999999995,0.0,0.0,Nov,2,2,7,11,Returning_Visitor,False,0
169,3,86.75,2,51.0,11,145.66666669999998,0.007692308,0.023076923,0.0,0.0,Dec,1,1,1,2,New_Visitor,False,0
170,0,0.0,0,0.0,6,546.0,0.0,0.04,35.49,0.0,Mar,2,2,3,1,Returning_Visitor,False,1
171,0,0.0,0,0.0,5,215.0,0.04,0.08,0.0,0.6,May,3,2,3,2,Returning_Visitor,False,0
172,0,0.0,1,0.0,5,85.6,0.011111111000000002,0.046666667,0.0,0.0,June,3,2,6,2,Returning_Visitor,False,0
173,3,40.0,0,0.0,9,1362.0,0.0,0.008333333,0.0,0.0,Mar,2,2,7,6,Returning_Visitor,False,0
174,2,41.5,0,0.0,10,264.25,0.016666667,0.025,0.0,0.0,Nov,1,4,8,8,New_Visitor,True,1
175,0,0.0,0,0.0,16,149.9,0.05625,0.1,0.0,0.0,June,2,2,7,1,Returning_Visitor,False,0
176,4,182.0,0,0.0,15,484.0,0.0,0.015686275,0.0,0.0,May,2,6,9,3,Returning_Visitor,False,0
177,0,0.0,0,0.0,10,276.0,0.04444444400000001,0.055555556,0.0,0.0,Mar,3,2,3,10,Returning_Visitor,False,0
178,4,62.66666667,0,0.0,82,1805.277375,0.0,0.023295607000000003,0.0,0.0,Dec,1,1,2,2,Returning_Visitor,False,0
179,1,53.5,0,0.0,53,2019.828571,0.007692308,0.015734266,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,0
180,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,2,2,4,3,Returning_Visitor,False,0
181,13,313.03333330000004,0,0.0,135,3700.4958149999998,0.004662005,0.014626073,3.348407692,0.0,May,2,4,1,4,Returning_Visitor,False,0
182,3,75.6,0,0.0,122,1655.57,0.0,0.0064,17.095286399999996,0.0,Aug,2,10,4,3,Returning_Visitor,False,1
183,2,58.0,0,0.0,50,952.4345238,0.0,0.011538462,2.179730769,0.0,Mar,4,2,2,11,Returning_Visitor,True,1
184,4,65.9,0,0.0,73,3799.2,0.07927927900000001,0.08481982,0.0,0.0,Aug,3,2,3,13,Returning_Visitor,False,0
185,0,0.0,0,0.0,12,86.5,0.076923077,0.08717948699999999,0.0,0.8,May,3,2,6,13,Returning_Visitor,False,0
186,0,0.0,1,844.0,6,1108.0,0.066666667,0.066666667,0.0,0.0,Mar,2,2,4,2,Returning_Visitor,False,0
187,6,211.0,1,58.0,41,2078.666667,0.008333333,0.028125,0.0,0.0,May,2,2,8,6,Returning_Visitor,False,0
188,2,47.5,0,0.0,30,735.5833332999999,0.006896551999999999,0.024137931,23.51024736,0.0,Dec,2,2,2,1,Returning_Visitor,False,0
189,1,20.0,0,0.0,38,1264.0,0.0,0.028947367999999998,31.48142512,0.0,Dec,2,6,9,3,Returning_Visitor,False,0
190,0,0.0,0,0.0,6,46.0,0.0,0.016666667,0.0,0.0,Dec,6,2,4,1,Returning_Visitor,False,0
191,0,0.0,2,120.5,54,1389.216667,0.008928571,0.025119047999999998,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,False,0
192,5,96.6,0,0.0,68,2664.416667,0.0,0.005633803000000001,5.1502601089999995,0.0,Sep,4,2,1,5,New_Visitor,True,0
193,13,611.0470588,7,393.325,34,1352.816503,0.009406495,0.033988025,5.816167973,0.0,May,2,2,6,2,Returning_Visitor,False,0
194,0,0.0,0,0.0,11,1855.6,0.027272727000000004,0.054545455,0.0,0.0,Sep,2,2,1,1,Returning_Visitor,False,0
195,0,0.0,0,0.0,26,664.85,0.026923077000000004,0.066666667,0.0,0.0,Dec,2,10,7,1,Returning_Visitor,True,0
196,0,0.0,0,0.0,21,607.5892857000001,0.028571429,0.05132275099999999,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,True,0
197,6,145.0,0,0.0,85,1704.580556,0.002930403,0.02539857,0.0,0.0,Nov,1,2,3,2,Returning_Visitor,False,1
198,0,0.0,0,0.0,22,562.1666667000001,0.018181818,0.053030303,0.0,0.0,June,2,2,3,3,Returning_Visitor,True,0
199,0,0.0,0,0.0,38,1338.778571,0.011111111000000002,0.024532828,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,True,0
200,1,85.0,0,0.0,14,306.5,0.0,0.0044444440000000005,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,False,0
201,2,120.0,0,0.0,8,588.1666667000001,0.0,0.0074074069999999995,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,0
202,3,58.5,0,0.0,17,281.6666667,0.007058824,0.017647059,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,False,0
203,0,0.0,0,0.0,8,138.375,0.0,0.025,0.0,0.0,Dec,2,2,1,2,New_Visitor,False,0
204,0,0.0,0,0.0,4,46.0,0.0,0.05,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,0
205,1,8.0,1,15.0,58,2801.75119,0.010526316,0.016374269,7.267034211,0.0,Dec,3,2,4,2,Returning_Visitor,False,0
206,0,0.0,0,0.0,2,5.0,0.0,0.1,0.0,0.0,Mar,2,2,9,1,Returning_Visitor,False,0
207,0,0.0,0,0.0,7,317.0,0.025,0.041666667000000004,0.0,0.2,May,2,2,2,6,Returning_Visitor,False,0
208,0,0.0,1,5.0,10,649.5,0.0,0.02,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,0
