App,Category,Rating,Reviews,Type,content_rating,new_genres,date_update,new_day,new_year,size_kb,new_installs,new_price,new_month_num,new_version,new_subversion,min_android
Mas Akıllı Ev,House_and_home,1,13,Free,Everyone,House & Home,2018-04-18,18,2018,43000,100,0,4,3,2,4.4
Internet Speed Meter Lite,Tools,1,410303,Free,Everyone,Tools,2016-09-05,5,2016,,1e+07,0,9,,,
Mcqueen Coloring pages,Art_and_design,1,61,Free,Everyone,Art & Design,2018-03-07,7,2018,7000,1e+05,0,3,1,0,4.1
Be the Manager 2016 (football),Sports,1,4330,Free,Everyone,Sports,2017-10-19,19,2017,6100,1e+05,0,10,3,0,4
Pick-a-Paint,Lifestyle,0,242,Free,Everyone,Lifestyle,2018-05-14,14,2018,36000,50000,0,5,1,2,3
ER Assist,Productivity,1,3,Free,Everyone,Productivity,2016-12-06,6,2016,28000,10,0,12,0,1,4.1
AE Roundy POP,Family,1,5262,Free,Everyone,Casual,2016-03-23,23,2016,26000,1e+05,0,3,1,1,2.3
Agar.io,Game,1,3816799,Free,Everyone,Action,2018-07-23,23,2018,32000,1e+08,0,7,2,2,
Vote for,Video_players,1,193381,Free,Teen,Video Players & Editors,2018-08-03,3,2018,17000,5e+07,0,8,1,,
CX-10WiFi,Family,0,1419,Free,Everyone,Casual,2017-10-25,25,2017,12000,1e+05,0,10,2,,4
TeachersPayTeachers,Education,0,828,Free,Everyone,Education,2017-10-01,1,2017,,1e+05,0,10,,,
ESS Mobile for AE,Productivity,0,63,Free,Everyone,Productivity,2016-09-27,27,2016,1800,5000,0,9,2,0,3
STARZ,Entertainment,1,88185,Free,Mature 17+,Entertainment,2018-06-20,20,2018,,1e+07,0,6,,,
Freeletics: Personal Trainer & Fitness Workouts,Health_and_fitness,1,130104,Free,Everyone,Health & Fitness,2018-08-03,3,2018,25000,1e+07,0,8,5,3,5
Moto Rider,Game,1,115176,Free,Teen,Racing,2018-06-15,15,2018,24000,1e+07,0,6,1,2,4
Podcast App: Free & Offline Podcasts by Player FM,News_and_magazines,1,66384,Free,Teen,News & Magazines,2018-07-25,25,2018,19000,1e+06,0,7,4,1,4
Phoenix and Arizona Cameras,Travel_and_local,1,134,Free,Everyone,Travel & Local,2018-06-20,20,2018,5300,10000,0,6,6,3,
TouchPal Keyboard for vivo,Tools,1,357,Free,Everyone,Tools,2018-05-30,30,2018,58000,1e+06,0,5,6,2,
Mopar Drag N Brag,Game,1,30630,Free,Everyone,Racing,2015-05-25,25,2015,17000,1e+06,0,5,1,2,4.1
"Free Professional Resume Builder, CV, Cover Letter",Business,1,831,Free,Everyone,Business,2018-06-13,13,2018,11000,50000,0,6,1,3,4
F.A Sumon songs,Family,1,6,Free,Everyone,Entertainment,2018-03-18,18,2018,5400,1000,0,3,1,1,4.1
"My Airtel-Online Recharge, Pay Bill, Wallet, UPI",Productivity,1,1498393,Free,Everyone,Productivity,2018-08-02,2,2018,14000,5e+07,0,8,4,3,4.2
dB Sound Meter,Tools,1,29,Free,Everyone,Tools,2016-04-25,25,2016,2300,5000,0,4,1,2,
Navy Gunner Shoot War 3D,Game,0,103199,Free,Teen,Action,2018-08-02,2,2018,44000,1e+07,0,8,1,0,4.2
Remote For Pioneer AV Receivers and Blu-Ray,Tools,0,150,Free,Everyone,Tools,2018-06-01,1,2018,7300,50000,0,6,,11,4.1
Video Caller Id,Communication,1,15287,Free,Everyone,Communication,2018-01-24,24,2018,17000,1e+06,0,1,2,2,
OptumRx,Medical,0,1838,Free,Everyone,Medical,2018-07-02,2,2018,21000,1e+05,0,7,2,11,
EP FCU,Finance,1,2,Free,Everyone,Finance,2018-03-22,22,2018,2800,100,0,3,3,0,4.1
News.aw,News_and_magazines,1,1,Free,Everyone,News & Magazines,2015-07-15,15,2015,1000,10,0,7,1,0,2.2
Tom Loves Angela,Family,1,1111915,Free,Everyone,Entertainment,2018-04-30,30,2018,50000,1e+08,0,4,2,2,4.1
"Chispa, the Dating App for Latino, Latina Singles",Dating,1,4195,Free,Mature 17+,Dating,2018-07-25,25,2018,24000,1e+05,0,7,1,6,4.4
Solitaire+,Game,1,11235,Paid,Everyone,Card,2018-07-30,30,2018,,1e+05,2.99,7,,,
Advanced Download Manager Pro,Tools,1,6505,Paid,Everyone,Tools,2017-11-03,3,2017,2000,50000,2.99,11,6,4,4
Recognise Foot,Medical,1,9,Paid,Everyone,Medical,2017-09-14,14,2017,95000,1000,7.49,9,1,0,4.1
Block Buddy,Medical,0,15,Paid,Everyone,Medical,2018-08-01,1,2018,5000,1000,14.99,8,7,6,4
Bo's School Day,Family,1,10,Paid,Everyone,Education,2017-12-18,18,2017,30000,1000,2.99,12,1,3,
Fruit Cube Blast,Family,1,9199,Free,Everyone,Puzzle,2018-08-03,3,2018,80000,5e+05,0,8,1,2,4.1
ColorSnap® Visualizer,House_and_home,0,3280,Free,Everyone,House & Home,2018-06-29,29,2018,77000,1e+06,0,6,5,0,
TAMAGO Monsters Returns,Game,1,104583,Free,Everyone,Arcade,2016-08-18,18,2016,37000,1e+06,0,8,3,45,2.3
Space X: Sky Wars of Air Force,Game,1,10748,Free,Everyone,Arcade,2018-08-04,4,2018,47000,1e+06,0,8,4,0,4.1
AF Legendary 2017,Business,1,0,Free,Teen,Business,2017-09-30,30,2017,11000,50,0,9,,7,4.1
AO/OTA Fracture Classification,Medical,1,25,Free,Everyone,Medical,2018-04-17,17,2018,46000,5000,0,4,1,0,5
Paint Space AR,Family,0,17,Free,Everyone,Entertainment,2018-03-07,7,2018,32000,1000,0,3,1,1,7
A-Z Punjabi Songs & Music Videos 2018,Family,1,367,Free,Everyone,Entertainment,2018-05-17,17,2018,5100,1e+05,0,5,1,0,4.1
DM Adventure,Game,1,0,Free,Everyone,Adventure,2018-06-18,18,2018,11000,10,0,6,1,0,2.3
EC Designer 2.0,Tools,1,0,Free,Everyone,Tools,2018-07-09,9,2018,12000,50,0,7,0,0,4
Axetatic - Axe Throwing Game,Game,1,29,Free,Everyone 10+,Arcade,2017-10-22,22,2017,31000,1000,0,10,1,3,4.2
Toronto FC,Sports,0,144,Free,Teen,Sports,2018-05-11,11,2018,79000,10000,0,5,4,2,4.3
Gokarting.dk,Family,1,13,Free,Everyone,Entertainment,2018-03-25,25,2018,34000,1000,0,3,5,0,4.1
Jobs in Canada - Emplois au Canada,Business,1,2,Free,Teen,Business,2018-08-05,5,2018,14000,1000,0,8,1,1,4.2
Learn R Programming,Books_and_reference,1,0,Free,Everyone,Books & Reference,2018-04-28,28,2018,29000,10,0,4,1,0,4.1
Stylish Fonts,Personalization,0,153176,Free,Everyone,Personalization,2018-08-07,7,2018,4300,1e+07,0,8,1,17,
UniFi,Tools,1,11018,Free,Everyone,Tools,2018-07-25,25,2018,25000,5e+05,0,7,1,7,4.1
Tafsiir Quraan MP3 Af Soomaali Quraanka Kariimka,Lifestyle,1,7,Free,Everyone,Lifestyle,2018-06-09,9,2018,3400,1000,0,6,1,4,4
Miami Crime Vice Town,Game,1,154519,Free,Mature 17+,Action,2017-05-09,9,2017,99000,1e+07,0,5,1,4,2.3
VMate Lite - Funny Short Videos Social Network,Social,1,903,Free,Teen,Social,2018-08-03,3,2018,4600,1e+06,0,8,1,,
Dude Perfect,Sports,1,97,Free,Everyone,Sports,2017-06-28,28,2017,1900,10000,0,6,1,0,4.1
Skype for Business for Android,Business,0,78172,Free,Everyone,Business,2018-08-02,2,2018,,1e+07,0,8,,,
Photo Lock App - Hide Pictures & Videos,Personalization,1,29203,Free,Everyone,Personalization,2017-12-10,10,2017,3300,5e+06,0,12,,0,4
DIY CD Craft Ideas,Lifestyle,1,5,Free,Everyone,Lifestyle,2017-01-14,14,2017,4600,1000,0,1,1,0,2.3
"NEW - Read Newspaper, News 24h",News_and_magazines,1,158196,Free,Everyone,News & Magazines,2018-07-27,27,2018,,1e+07,0,7,,,
Insave-Download for Instagram,Photography,1,46242,Free,Everyone,Photography,2016-09-20,20,2016,5200,1e+06,0,9,2,1,4
Pujie Black Watch Face for Android Wear OS,Personalization,1,7264,Paid,Everyone,Personalization,2017-11-16,16,2017,,1e+05,1.99,11,3,6,
AR Tank Battle,Game,0,153,Free,Everyone,Action,2016-12-31,31,2016,67000,10000,0,12,1,3,4
Z Origins - (Z The Game),Family,1,4421,Paid,Teen,Strategy,2014-11-05,5,2014,37000,50000,2.99,11,1,,2.2
BN Pro White HD Text,Libraries_and_demo,1,120,Free,Everyone,Libraries & Demo,2017-02-05,5,2017,782,10000,0,2,2,3,1.6
Voice Changer,Family,1,138050,Free,Everyone,Entertainment,2018-04-19,19,2018,5700,1e+07,0,4,2,4,
BT Church,Lifestyle,1,26,Free,Teen,Lifestyle,2018-06-25,25,2018,8400,1000,0,6,3,8,4.1
Live Hold’em Pro Poker - Free Casino Games,Game,1,1123190,Free,Teen,Card,2018-08-07,7,2018,,1e+07,0,8,,,
Samsung+,Lifestyle,1,82145,Free,Everyone,Lifestyle,2018-07-05,5,2018,30000,5e+07,0,7,10,19,4.4
RPG Dragon Lapis,Family,1,13492,Free,Teen,Role Playing,2018-07-09,9,2018,56000,1e+05,0,7,1,1,4.1
Denis Brogniart - AH !,Family,1,2931,Free,Everyone,Entertainment,2017-08-04,4,2017,818,1e+05,0,8,1,1,4.2
At home - rental · real estate · room finding application such as apartment · apartment,House_and_home,0,2496,Free,Everyone,House & Home,2018-07-05,5,2018,,5e+05,0,7,,,
SeriesGuide – Show & Movie Manager,Entertainment,1,64448,Free,Mature 17+,Entertainment,2018-07-21,21,2018,4400,1e+06,0,7,,,
Podcast Republic - Podcast Player & Radio Player,News_and_magazines,1,66978,Free,Teen,News & Magazines,2018-08-06,6,2018,,1e+06,0,8,,,
HD Video Download for Facebook,Video_players,1,20755,Free,Everyone,Video Players & Editors,2018-03-16,16,2018,17000,1e+06,0,3,4,0,4.1
"Brilliant Quotes: Life, Love, Family & Motivation",Books_and_reference,1,67186,Free,Everyone 10+,Books & Reference,2018-05-18,18,2018,6300,1e+06,0,5,4,4,
Geeks Dating,Dating,1,0,Free,Mature 17+,Dating,2018-07-10,10,2018,13000,50,0,7,1,0,4.1
Sprig by CO-OP,Finance,0,252,Free,Everyone,Finance,2017-10-11,11,2017,18000,10000,0,10,1,4,4.1
Satellite Director,Tools,1,45610,Free,Everyone,Tools,2018-01-02,2,2018,176,1e+07,0,1,1,,1.6
E-NUM,Finance,0,10374,Free,Everyone,Finance,2016-10-24,24,2016,,5e+05,0,10,,,
NEMA ei,Business,1,4,Free,Everyone,Business,2017-11-06,6,2017,12000,100,0,11,1,0,4.4
Smash Hit,Game,1,4147718,Free,Everyone,Arcade,2015-11-26,26,2015,79000,1e+08,0,11,1,4,2.3
EB-Banking (ersetzt),Finance,1,24,Free,Everyone,Finance,2018-04-18,18,2018,70000,1000,0,4,17,25,4.1
Loteria BR,Family,1,0,Free,Everyone,Entertainment,2017-05-17,17,2017,1800,50,0,5,1,0,4
Arrowhead AH App,Medical,1,3,Free,Everyone,Medical,2017-04-21,21,2017,28000,100,0,4,,0,
EJ messenger,Communication,1,1,Free,Teen,Communication,2017-10-18,18,2017,25000,10,0,10,1,0,4
DV-2019 Results,Family,1,158,Free,Everyone,Entertainment,2018-06-14,14,2018,2600,10000,0,6,17,0,4
Trimble Ag Mobile,Productivity,1,85,Free,Everyone,Productivity,2018-08-02,2,2018,44000,10000,0,8,2,7,4.1
Zen Leaf,Medical,1,1,Free,Mature 17+,Medical,2018-03-08,8,2018,6100,100,0,3,2,3,4.1
My C Spire,Productivity,1,376,Free,Everyone,Productivity,2018-07-23,23,2018,32000,50000,0,7,2,15,4.4
EO KOREA,Business,1,0,Free,Teen,Business,2017-12-04,4,2017,14000,50,0,12,1,0,2.2
Google Play Movies & TV,Video_players,0,906384,Free,Teen,Video Players & Editors,2018-08-06,6,2018,,1e+09,0,8,,,
"Notes : Colorful Notepad Note,To Do,Reminder,Memo",Lifestyle,1,10484,Free,Everyone,Lifestyle,2018-06-09,9,2018,9000,1e+06,0,6,1,4,4.1
AEMET's time,Weather,0,15966,Free,Everyone,Weather,2017-07-17,17,2017,9200,1e+06,0,7,2,0,2.3
Masha and the Bear Child Games,Family,1,288523,Free,Everyone,Adventure,2018-05-08,8,2018,92000,1e+07,0,5,2,7,4
Strawberry Shortcake Ice Cream Island,Family,1,32029,Free,Everyone,Casual,2017-11-06,6,2017,15000,5e+06,0,11,1,2,4.1
Codes for GTA San Andreas,Family,0,12414,Free,Everyone,Entertainment,2017-08-04,4,2017,13000,1e+06,0,8,1,0,4.1
"CM Flashlight (Compass, SOS)",Tools,1,166367,Free,Everyone,Tools,2018-05-25,25,2018,1800,5e+06,0,5,1,4,2.3
Cops N Robbers 2,Game,1,63680,Free,Everyone 10+,Adventure,2018-06-02,2,2018,46000,1e+06,0,6,2,2,4.1
English Communication - Learn English for Chinese (Learn English for Chinese),Education,1,2544,Free,Everyone,Education,2017-12-29,29,2017,18000,1e+05,0,12,3,1,4
Ek Maratha,Social,1,725,Free,Teen,Social,2016-10-12,12,2016,3700,10000,0,10,7,5,2.2
乗換NAVITIME　Timetable & Route Search in Japan Tokyo,Maps_and_navigation,1,50459,Free,Everyone,Maps & Navigation,2018-07-26,26,2018,,5e+06,0,7,,,
Myntra Online Shopping App,Shopping,1,1315242,Free,Everyone,Shopping,2018-07-21,21,2018,,5e+07,0,7,3,27,4.1
DB Welt - Die Zeitung der DB,News_and_magazines,1,145,Free,Everyone,News & Magazines,2016-02-26,26,2016,16000,10000,0,2,3,1,4
DRAGON QUEST IV,Family,1,1647,Paid,Everyone,Role Playing,2017-02-28,28,2017,16000,10000,14.99,2,1,0,2.3
Insight Timer - Free Meditation App,Health_and_fitness,1,20161,Free,Everyone,Health & Fitness,2018-08-01,1,2018,,1e+06,0,8,,,
funny Image Comments for FB,Social,0,19,Free,Teen,Social,2018-02-13,13,2018,15000,5000,0,2,2,0,4.1
My baby firework,Parenting,0,4976,Free,Everyone,Parenting,2018-05-28,28,2018,2800,1e+06,0,5,2,4,4
"U - Webinars, Meetings & Messenger",Communication,1,6601,Free,Everyone,Communication,2018-07-02,2,2018,31000,5e+05,0,7,4,7,4.1
Scanner Radio - Fire and Police Scanner,Family,1,175509,Free,Everyone,Entertainment,2018-08-07,7,2018,,1e+07,0,8,,,
BN Pro ArialXL-b HD Text,Libraries_and_demo,0,24,Free,Everyone,Libraries & Demo,2017-02-05,5,2017,478,1000,0,2,2,3,1.6
FQ India,Lifestyle,1,0,Free,Everyone,Lifestyle,2018-07-31,31,2018,8900,10,0,7,7,2,4.1
BN Pro ArialXL Legacy Text,Libraries_and_demo,1,142,Free,Everyone,Libraries & Demo,2017-02-05,5,2017,442,10000,0,2,2,3,1.6
"JotterPad - Writer, Screenplay, Novel",Productivity,1,57904,Free,Everyone,Productivity,2018-07-01,1,2018,11000,1e+06,0,7,12,8,4.2
Cops N Robbers,Game,0,37789,Free,Teen,Adventure,2018-06-06,6,2018,58000,1e+06,0,6,1,5,4.1
Geometry Dash SubZero,Game,1,260527,Free,Everyone,Arcade,2017-12-21,21,2017,49000,1e+07,0,12,1,0,4
"GO Keyboard - Cute Emojis, Themes and GIFs",Tools,1,4594198,Free,Everyone,Tools,2018-07-31,31,2018,,1e+08,0,7,,,
CT and XR Dose Calculator,Medical,1,3,Paid,Everyone,Medical,2014-01-22,22,2014,97,50,0.99,1,,1,1.6
A Manual of Acupuncture,Medical,0,214,Paid,Everyone,Medical,2017-10-02,2,2017,68000,1000,33.99,10,2,1,4
Hostelworld: Hostels & Cheap Hotels Travel App,Travel_and_local,1,17878,Free,Everyone,Travel & Local,2018-07-16,16,2018,28000,1e+06,0,7,6,7,4.1
Faceoff DP Battle App,Family,1,38,Free,Everyone,Entertainment,2018-06-15,15,2018,6700,1000,0,6,5,2,4.4
Basket Manager 2017 Free,Sports,1,2710,Free,Everyone,Sports,2017-11-27,27,2017,4800,1e+05,0,11,4,0,4.1
Messenger for SMS,Communication,1,125257,Free,Teen,Communication,2018-06-06,6,2018,17000,1e+07,0,6,1,8,4.1
TunnelBear VPN,Tools,1,139480,Free,Everyone,Tools,2018-04-19,19,2018,,5e+06,0,4,,,4.1
boattheory.ch Full 2018,Family,1,54,Paid,Everyone,Education,2017-11-18,18,2017,50000,1000,19.4,11,3,1,4.2
Infinity Dungeon VIP,Family,1,21804,Paid,Everyone 10+,Role Playing,2018-07-03,3,2018,44000,1e+06,0.99,7,2,6,2.3
"Candy selfie - photo editor, live filter camera",Photography,1,53421,Free,Everyone,Photography,2018-08-06,6,2018,26000,1e+07,0,8,2,,
EP Search and Find,Family,1,20,Free,Everyone,Casual,2015-05-27,27,2015,23000,500,0,5,1,0,2.3
Van Nien 2018 - Lich Van su & Lich Am,Lifestyle,1,3829,Free,Everyone,Lifestyle,2018-06-01,1,2018,23000,1e+06,0,6,3,9,4.1
DX Glow - Clock Widget,Personalization,1,5,Paid,Everyone,Personalization,2015-03-20,20,2015,3400,50,0.99,3,2,0,3
Slice: Package Tracker,Shopping,1,16966,Free,Everyone,Shopping,2018-07-12,12,2018,34000,1e+06,0,7,6,10,
Football-CB GO Clock Theme,Personalization,1,26,Free,Everyone,Personalization,2017-03-03,3,2017,5600,1000,0,3,1,0,
Ek Qissa He Quran Se (Qurani Waqiyat),Family,1,4,Free,Everyone,Entertainment,2017-10-30,30,2017,2000,100,0,10,1,0,4
ABG Master,Medical,1,2,Paid,Everyone,Medical,2018-08-04,4,2018,1800,50,0.99,8,1,1,4.1
Shabad Gurubani Punjabi mp3 free - Ek Onkar Satnam,Family,1,5,Free,Everyone,Entertainment,2018-01-19,19,2018,64000,100,0,1,1,1,4.4
TattooSupplies.eu,Shopping,1,31,Free,Everyone,Shopping,2017-08-09,9,2017,34000,1000,0,8,1,3,4.1
SpongeBob Diner Dash,Family,0,576210,Free,Everyone,Casual,2013-08-22,22,2013,48000,5e+07,0,8,3,25,
DRAGON QUEST II,Family,1,2576,Paid,Everyone,Role Playing,2018-03-09,9,2018,44000,10000,4.99,3,1,0,4
FP Boss,Finance,1,1,Free,Everyone,Finance,2018-07-27,27,2018,5800,1,0,7,1,0,5
MCQ CE IT,Family,1,22,Free,Everyone,Education,2017-11-07,7,2017,3600,1000,0,11,2,0,4.4
Royale Tournaments,Family,1,2420,Free,Teen,Entertainment,2018-07-28,28,2018,6700,50000,0,7,5,3,4.1
SilverSingles: The 50+ Dating App,Dating,0,149,Free,Mature 17+,Dating,2018-07-31,31,2018,16000,10000,0,7,4,8,
Lose Weight in 30 Days,Health_and_fitness,1,220125,Free,Everyone,Health & Fitness,2018-07-31,31,2018,11000,1e+07,0,7,1,0,4
Free games: Masha and the Bear,Family,1,34514,Free,Everyone,Puzzle,2018-07-20,20,2018,60000,5e+06,0,7,1,2,4.1
Wallpapers Mercedes Benz CL,Personalization,1,2,Free,Teen,Personalization,2017-03-05,5,2017,12000,100,0,3,1,0,4.1
ABCmouse.com,Family,1,50887,Free,Everyone,Education,2018-07-03,3,2018,91000,5e+06,0,7,7,2,4.4
Analog and Digital Clock AW-7,Tools,0,202,Free,Everyone,Tools,2018-03-15,15,2018,2900,50000,0,3,2,0,4.3
DW - Breaking World News,News_and_magazines,1,17671,Free,Everyone 10+,News & Magazines,2018-08-06,6,2018,17000,1e+06,0,8,2,3,4.2
Theatre of the Absurd CE(Full),Family,1,1143,Paid,Everyone 10+,Casual,2013-05-21,21,2013,15000,10000,2.99,5,1,0,
BX Memo,Family,1,131,Free,Everyone,Education,2016-11-17,17,2016,2000,5000,0,11,3,3,2.2
AP App for Android™,News_and_magazines,0,188,Free,Everyone,News & Magazines,2016-05-12,12,2016,9900,10000,0,5,1,0,4
Block City Wars + skins export,Family,1,762706,Free,Teen,Simulation,2018-03-30,30,2018,28000,1e+07,0,3,6,7,4
eBoox: book reader fb2 epub zip,Books_and_reference,1,21336,Free,Everyone,Books & Reference,2018-06-20,20,2018,23000,1e+06,0,6,1,28,3
CTRL-F - Search the real world,Productivity,1,607,Free,Everyone,Productivity,2016-07-24,24,2016,37000,50000,0,7,1,1,
8 Ball Pool,Game,1,14198297,Free,Everyone,Sports,2018-07-31,31,2018,52000,1e+08,0,7,4,0,
CCHT PREP,Medical,0,25,Paid,Everyone,Medical,2016-12-08,8,2016,266,1000,10.99,12,1,2,2.1
FILL EC,Business,1,13,Free,Everyone,Business,2018-04-23,23,2018,3800,100,0,4,1,0,
Multiling O Keyboard + emoji,Productivity,1,30443,Free,Everyone,Productivity,2018-07-03,3,2018,540,1e+06,0,7,0,,2.1
Photo Studio,Photography,1,477831,Free,Everyone,Photography,2018-07-28,28,2018,51000,1e+07,0,7,2,0,4
Google Street View,Travel_and_local,1,2129689,Free,Everyone,Travel & Local,2018-08-06,6,2018,,1e+09,0,8,,,
Nero AirBurn,Video_players,1,1008,Free,Everyone,Video Players & Editors,2015-06-26,26,2015,1700,1e+05,0,6,1,0,4
Driving n Parking School 2017,Family,1,15,Free,Everyone,Simulation,2017-05-31,31,2017,46000,1000,0,5,1,0,2.3
Square Analog Clock AW-7,Tools,1,294,Free,Everyone,Tools,2018-03-10,10,2018,3000,50000,0,3,2,0,4.3
"Mobile Security: Antivirus, Web Scan & App Lock",Productivity,1,574719,Free,Everyone,Productivity,2018-07-16,16,2018,20000,1e+07,0,7,5,0,4.1
CV S ( CV Editor - Resume ),Business,1,3972,Free,Teen,Business,2018-06-25,25,2018,5600,1e+05,0,6,5,1,4
Radio K - KUOM,Family,1,39,Free,Everyone,Entertainment,2018-03-09,9,2018,7400,1000,0,3,3,0,4.1
V380s,Libraries_and_demo,0,1919,Free,Everyone,Libraries & Demo,2018-07-11,11,2018,8100,5e+05,0,7,5,9,4.1
Doctors Care,Medical,1,0,Free,Everyone,Medical,2018-07-24,24,2018,25000,10,0,7,2,0,4.4
"GO Weather - Widget, Theme, Wallpaper, Efficient",Weather,1,1422858,Free,Everyone,Weather,2018-08-03,3,2018,,5e+07,0,8,,,
CP Connect 2.0,Productivity,1,0,Free,Everyone,Productivity,2017-08-17,17,2017,5800,500,0,8,3,9,
Quizlet: Learn Languages & Vocab with Flashcards,Education,1,211856,Free,Everyone,Education,2018-08-01,1,2018,,1e+07,0,8,,,
Easy Language Translator,Tools,1,191621,Free,Everyone,Tools,2018-05-29,29,2018,6100,1e+07,0,5,1,43,4
Fairy Kingdom: World of Magic and Farming,Family,1,129542,Free,Everyone,Strategy,2018-07-23,23,2018,63000,1e+06,0,7,2,4,
Sic Bo,Game,1,1,Paid,Teen,Card,2013-08-27,27,2013,11000,100,1.99,8,1,0,2.2
MultiMessage for FB Messenger,Productivity,1,182,Free,Everyone,Productivity,2018-04-28,28,2018,7000,50000,0,4,1,0,4.2
GroupMe,Communication,1,330761,Free,Everyone,Communication,2018-07-03,3,2018,,1e+07,0,7,,,
The Bump Pregnancy Tracker,Health_and_fitness,1,20301,Free,Everyone,Health & Fitness,2018-05-16,16,2018,22000,1e+06,0,5,3,22,4.3
"Length Converter: convert mm,cm,m, feet,yard,mile",Tools,1,76,Free,Everyone,Tools,2018-04-05,5,2018,2200,50000,0,4,1,4,
Series Valley of the Wolves full of part,Events,1,731,Free,Everyone,Events,2017-12-24,24,2017,11000,50000,0,12,2,0,4
Nose Surgery ER Simulator Lite,Family,0,269,Free,Teen,Education,2017-06-03,3,2017,39000,50000,0,6,1,0,4
ck-modelcars-UK Shop,Shopping,1,69,Free,Everyone,Shopping,2018-06-15,15,2018,6400,5000,0,6,5,29,5
Broken Screen Prank,Family,0,23682,Free,Teen,Casual,2018-06-14,14,2018,9800,1e+06,0,6,6,2,4
Chronolink DX,Family,1,7,Paid,Everyone,Puzzle,2017-07-06,6,2017,73000,10,0.99,7,1,2,4.1
UFC,Sports,0,30840,Free,Teen,Sports,2018-05-22,22,2018,,1e+06,0,5,,,
BI Barcode Scanner,Productivity,1,0,Paid,Everyone,Productivity,2014-06-13,13,2014,473,10,0.99,6,2,2,2.2
O Launcher,Tools,1,2059,Free,Everyone,Tools,2018-05-22,22,2018,10000,1e+05,0,5,1,1,5
BH Táxi,Business,0,91,Free,Everyone,Business,2018-06-07,7,2018,8900,5000,0,6,3,44,
Low Poly – Puzzle art game,Entertainment,1,23063,Free,Everyone,Entertainment,2018-08-03,3,2018,17000,1e+06,0,8,1,0,4.1
Pedometer - Step Counter Free & Calorie Burner,Health_and_fitness,1,31139,Free,Everyone,Health & Fitness,2018-07-24,24,2018,6900,1e+06,0,7,1,0,4.1
DK Quiz,Game,1,1628,Free,Everyone,Trivia,2014-04-10,10,2014,34000,50000,0,4,1,3,2.3
F-Secure Freedome for Business,Business,0,183,Free,Everyone,Business,2018-07-16,16,2018,9900,50000,0,7,2,5,
