ID,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
56,Recognise Foot,MEDICAL,1.0,9,95M,"1,000+",Paid,$7.49,Everyone,Medical,"September 14, 2017",1.0.3,4.1 and up
57,Block Buddy,MEDICAL,0.0,15,5.0M,"1,000+",Paid,$14.99,Everyone,Medical,"August 1, 2018",7.6.14,4.0 and up
58,Bo's School Day,FAMILY,1.0,10,30M,"1,000+",Paid,$2.99,Everyone,Education;Pretend Play,"December 18, 2017",1.3,4.0.3 and up
59,Fruit Cube Blast,FAMILY,1.0,9199,80M,"500,000+",Free,0,Everyone,Puzzle;Brain Games,"August 3, 2018",1.2.7,4.1 and up
60,ColorSnap® Visualizer,HOUSE_AND_HOME,0.0,3280,77M,"1,000,000+",Free,0,Everyone,House & Home,"June 29, 2018",5.0.1,4.0.3 and up
61,TAMAGO Monsters Returns,GAME,1.0,104583,37M,"1,000,000+",Free,0,Everyone,Arcade,"August 18, 2016",3.45,2.3 and up
62,Space X: Sky Wars of Air Force,GAME,1.0,10748,47M,"1,000,000+",Free,0,Everyone,Arcade,"August 4, 2018",4.0,4.1 and up
63,AF Legendary 2017,BUSINESS,1.0,0,11M,50+,Free,0,Teen,Business,"September 30, 2017",v2.7.11.6,4.1 and up
64,AO/OTA Fracture Classification,MEDICAL,1.0,25,46M,"5,000+",Free,0,Everyone,Medical,"April 17, 2018",1.0,5.0 and up
65,Paint Space AR,FAMILY,0.0,17,32M,"1,000+",Free,0,Everyone,Entertainment,"March 7, 2018",1.1,7.0 and up
66,A-Z Punjabi Songs & Music Videos 2018,FAMILY,1.0,367,5.1M,"100,000+",Free,0,Everyone,Entertainment,"May 17, 2018",1.0.19,4.1 and up
67,DM Adventure,GAME,1.0,0,11M,10+,Free,0,Everyone,Adventure,"June 18, 2018",1.0.4,2.3 and up
68,EC Designer 2.0,TOOLS,1.0,0,12M,50+,Free,0,Everyone,Tools,"July 9, 2018",0.0.44,4.0 and up
69,Axetatic - Axe Throwing Game,GAME,1.0,29,31M,"1,000+",Free,0,Everyone 10+,Arcade,"October 22, 2017",1.3.3,4.2 and up
70,Toronto FC,SPORTS,0.0,144,79M,"10,000+",Free,0,Teen,Sports,"May 11, 2018",4.2.5,4.3 and up
71,Gokarting.dk,FAMILY,1.0,13,34M,"1,000+",Free,0,Everyone,Entertainment,"March 25, 2018",5.0.45,4.1 and up
72,Jobs in Canada - Emplois au Canada,BUSINESS,1.0,2,14M,"1,000+",Free,0,Teen,Business,"August 5, 2018",1.1,4.2 and up
73,Learn R Programming,BOOKS_AND_REFERENCE,1.0,0,29M,10+,Free,0,Everyone,Books & Reference,"April 28, 2018",1.0,4.1 and up
74,Stylish Fonts,PERSONALIZATION,0.0,153176,4.3M,"10,000,000+",Free,0,Everyone,Personalization,"August 7, 2018",1.17,4.0.3 and up
75,UniFi,TOOLS,1.0,11018,25M,"500,000+",Free,0,Everyone,Tools,"July 25, 2018",1.7.0,4.1 and up
76,Tafsiir Quraan MP3 Af Soomaali Quraanka Kariimka,LIFESTYLE,1.0,7,3.4M,"1,000+",Free,0,Everyone,Lifestyle,"June 9, 2018",1.4,4.0 and up
77,Miami Crime Vice Town,GAME,1.0,154519,99M,"10,000,000+",Free,0,Mature 17+,Action,"May 9, 2017",1.4,2.3 and up
78,VMate Lite - Funny Short Videos Social Network,SOCIAL,1.0,903,4.6M,"1,000,000+",Free,0,Teen,Social,"August 3, 2018",1.76,4.0.3 and up
79,Dude Perfect,SPORTS,1.0,97,1.9M,"10,000+",Free,0,Everyone,Sports,"June 28, 2017",1.0,4.1 and up
80,Skype for Business for Android,BUSINESS,0.0,78172,Varies with device,"10,000,000+",Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device
81,Photo Lock App - Hide Pictures & Videos,PERSONALIZATION,1.0,29203,3.3M,"5,000,000+",Free,0,Everyone,Personalization,"December 10, 2017",40.0,4.0 and up
82,DIY CD Craft Ideas,LIFESTYLE,1.0,5,4.6M,"1,000+",Free,0,Everyone,Lifestyle,"January 14, 2017",1.0,2.3 and up
83,"NEW - Read Newspaper, News 24h",NEWS_AND_MAGAZINES,1.0,158196,Varies with device,"10,000,000+",Free,0,Everyone,News & Magazines,"July 27, 2018",Varies with device,Varies with device
84,Insave-Download for Instagram,PHOTOGRAPHY,1.0,46242,5.2M,"1,000,000+",Free,0,Everyone,Photography,"September 20, 2016",2.1.3,4.0 and up
85,Pujie Black Watch Face for Android Wear OS,PERSONALIZATION,1.0,7264,Varies with device,"100,000+",Paid,$1.99,Everyone,Personalization,"November 16, 2017",3.6.46,Varies with device
86,AR Tank Battle,GAME,0.0,153,67M,"10,000+",Free,0,Everyone,Action,"December 31, 2016",1.3,4.0 and up
87,Z Origins - (Z The Game),FAMILY,1.0,4421,37M,"50,000+",Paid,$2.99,Teen,Strategy,"November 5, 2014",1.77,2.2 and up
88,BN Pro White HD Text,LIBRARIES_AND_DEMO,1.0,120,782k,"10,000+",Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up
89,Voice Changer,FAMILY,1.0,138050,5.7M,"10,000,000+",Free,0,Everyone,Entertainment;Music & Video,"April 19, 2018",2.4,4.0.3 and up
90,BT Church,LIFESTYLE,1.0,26,8.4M,"1,000+",Free,0,Teen,Lifestyle,"June 25, 2018",3.8.0,4.1 and up
91,Live Hold’em Pro Poker - Free Casino Games,GAME,1.0,1123190,Varies with device,"10,000,000+",Free,0,Teen,Card,"August 7, 2018",Varies with device,Varies with device
92,Samsung+,LIFESTYLE,1.0,82145,30M,"50,000,000+",Free,0,Everyone,Lifestyle,"July 5, 2018",10.19.0.0,4.4 and up
93,RPG Dragon Lapis,FAMILY,1.0,13492,56M,"100,000+",Free,0,Teen,Role Playing,"July 9, 2018",1.1.4g,4.1 and up
94,Denis Brogniart - AH !,FAMILY,1.0,2931,818k,"100,000+",Free,0,Everyone,Entertainment,"August 4, 2017",1.1,4.2 and up
95,At home - rental · real estate · room finding application such as apartment · apartment,HOUSE_AND_HOME,0.0,2496,Varies with device,"500,000+",Free,0,Everyone,House & Home,"July 5, 2018",Varies with device,Varies with device
96,SeriesGuide – Show & Movie Manager,ENTERTAINMENT,1.0,64448,4.4M,"1,000,000+",Free,0,Mature 17+,Entertainment,"July 21, 2018",43,4.0.3 and up
97,Podcast Republic - Podcast Player & Radio Player,NEWS_AND_MAGAZINES,1.0,66978,Varies with device,"1,000,000+",Free,0,Teen,News & Magazines,"August 6, 2018",Varies with device,Varies with device
98,HD Video Download for Facebook,VIDEO_PLAYERS,1.0,20755,17M,"1,000,000+",Free,0,Everyone,Video Players & Editors,"March 16, 2018",4.0.3,4.1 and up
99,"Brilliant Quotes: Life, Love, Family & Motivation",BOOKS_AND_REFERENCE,1.0,67186,6.3M,"1,000,000+",Free,0,Everyone 10+,Books & Reference,"May 18, 2018",4.4.10,2.3.3 and up
100,Geeks Dating,DATING,1.0,0,13M,50+,Free,0,Mature 17+,Dating,"July 10, 2018",1.0,4.1 and up
101,Sprig by CO-OP,FINANCE,0.0,252,18M,"10,000+",Free,0,Everyone,Finance,"October 11, 2017",1.4.1033,4.1 and up
102,Satellite Director,TOOLS,1.0,45610,176k,"10,000,000+",Free,0,Everyone,Tools,"January 2, 2018",1.56,1.6 and up
103,E-NUM,FINANCE,0.0,10374,Varies with device,"500,000+",Free,0,Everyone,Finance,"October 24, 2016",Varies with device,Varies with device
104,NEMA ei,BUSINESS,1.0,4,12M,100+,Free,0,Everyone,Business,"November 6, 2017",1.0.4,4.4 and up
105,Smash Hit,GAME,1.0,4147718,79M,"100,000,000+",Free,0,Everyone,Arcade,"November 26, 2015",1.4.0,2.3 and up
106,EB-Banking (ersetzt),FINANCE,1.0,24,70M,"1,000+",Free,0,Everyone,Finance,"April 18, 2018",17.25.11,4.1 and up
107,Loteria BR,FAMILY,1.0,0,1.8M,50+,Free,0,Everyone,Entertainment,"May 17, 2017",1.0.6,4.0 and up
108,Arrowhead AH App,MEDICAL,1.0,3,28M,100+,Free,0,Everyone,Medical,"April 21, 2017",300000.0.80,4.0.3 and up
109,EJ messenger,COMMUNICATION,1.0,1,25M,10+,Free,0,Teen,Communication,"October 18, 2017",1.0,4.0 and up
110,DV-2019 Results,FAMILY,1.0,158,2.6M,"10,000+",Free,0,Everyone,Entertainment,"June 14, 2018",17.0,4.0 and up
111,Trimble Ag Mobile,PRODUCTIVITY,1.0,85,44M,"10,000+",Free,0,Everyone,Productivity,"August 2, 2018",2.7.8,4.1 and up
112,Zen Leaf,MEDICAL,1.0,1,6.1M,100+,Free,0,Mature 17+,Medical,"March 8, 2018",2.3.5,4.1 and up
113,My C Spire,PRODUCTIVITY,1.0,376,32M,"50,000+",Free,0,Everyone,Productivity,"July 23, 2018",2.15.1,4.4 and up
114,EO KOREA,BUSINESS,1.0,0,14M,50+,Free,0,Teen,Business,"December 4, 2017",1.0.7,2.2 and up
115,Google Play Movies & TV,VIDEO_PLAYERS,0.0,906384,Varies with device,"1,000,000,000+",Free,0,Teen,Video Players & Editors,"August 6, 2018",Varies with device,Varies with device
116,"Notes : Colorful Notepad Note,To Do,Reminder,Memo",LIFESTYLE,1.0,10484,9.0M,"1,000,000+",Free,0,Everyone,Lifestyle,"June 9, 2018",1.4.9,4.1 and up
117,AEMET's time,WEATHER,0.0,15966,9.2M,"1,000,000+",Free,0,Everyone,Weather,"July 17, 2017",2.0,2.3 and up
118,Masha and the Bear Child Games,FAMILY,1.0,288523,92M,"10,000,000+",Free,0,Everyone,Adventure;Education,"May 8, 2018",2.7.4,4.0 and up
119,Strawberry Shortcake Ice Cream Island,FAMILY,1.0,32029,15M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"November 6, 2017",1.2,4.1 and up
120,Codes for GTA San Andreas,FAMILY,0.0,12414,13M,"1,000,000+",Free,0,Everyone,Entertainment,"August 4, 2017",1.0.0,4.1 and up
121,"CM Flashlight (Compass, SOS)",TOOLS,1.0,166367,1.8M,"5,000,000+",Free,0,Everyone,Tools,"May 25, 2018",1.4.0,2.3 and up
122,Cops N Robbers 2,GAME,1.0,63680,46M,"1,000,000+",Free,0,Everyone 10+,Adventure,"June 2, 2018",2.2.2,4.1 and up
123,English Communication - Learn English for Chinese (Learn English for Chinese),EDUCATION,1.0,2544,18M,"100,000+",Free,0,Everyone,Education,"December 29, 2017",3.1,4.0 and up
124,Ek Maratha,SOCIAL,1.0,725,3.7M,"10,000+",Free,0,Teen,Social,"October 12, 2016",7.5.3,2.2 and up
125,乗換NAVITIME　Timetable & Route Search in Japan Tokyo,MAPS_AND_NAVIGATION,1.0,50459,Varies with device,"5,000,000+",Free,0,Everyone,Maps & Navigation,"July 26, 2018",Varies with device,Varies with device
126,Myntra Online Shopping App,SHOPPING,1.0,1315242,Varies with device,"50,000,000+",Free,0,Everyone,Shopping,"July 21, 2018",3.27.1,4.1 and up
127,DB Welt - Die Zeitung der DB,NEWS_AND_MAGAZINES,1.0,145,16M,"10,000+",Free,0,Everyone,News & Magazines,"February 26, 2016",3.1.3,4.0 and up
128,DRAGON QUEST IV,FAMILY,1.0,1647,16M,"10,000+",Paid,$14.99,Everyone,Role Playing,"February 28, 2017",1.0.5,2.3 and up
129,Insight Timer - Free Meditation App,HEALTH_AND_FITNESS,1.0,20161,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"August 1, 2018",Varies with device,Varies with device
130,funny Image Comments for FB,SOCIAL,0.0,19,15M,"5,000+",Free,0,Teen,Social,"February 13, 2018",2.0,4.1 and up
131,My baby firework,PARENTING,0.0,4976,2.8M,"1,000,000+",Free,0,Everyone,Parenting;Education,"May 28, 2018",2.04.2714,4.0 and up
132,"U - Webinars, Meetings & Messenger",COMMUNICATION,1.0,6601,31M,"500,000+",Free,0,Everyone,Communication,"July 2, 2018",4.7.0,4.1 and up
133,Scanner Radio - Fire and Police Scanner,FAMILY,1.0,175509,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment,"August 7, 2018",Varies with device,Varies with device
134,BN Pro ArialXL-b HD Text,LIBRARIES_AND_DEMO,0.0,24,478k,"1,000+",Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up
135,FQ India,LIFESTYLE,1.0,0,8.9M,10+,Free,0,Everyone,Lifestyle,"July 31, 2018",7.2.2,4.1 and up
136,BN Pro ArialXL Legacy Text,LIBRARIES_AND_DEMO,1.0,142,442k,"10,000+",Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up
137,"JotterPad - Writer, Screenplay, Novel",PRODUCTIVITY,1.0,57904,11M,"1,000,000+",Free,0,Everyone,Productivity,"July 1, 2018",12.8.2-pi,4.2 and up
138,Cops N Robbers,GAME,0.0,37789,58M,"1,000,000+",Free,0,Teen,Adventure,"June 6, 2018",1.5.2,4.1 and up
139,Geometry Dash SubZero,GAME,1.0,260527,49M,"10,000,000+",Free,0,Everyone,Arcade,"December 21, 2017",1.00,4.0 and up
140,"GO Keyboard - Cute Emojis, Themes and GIFs",TOOLS,1.0,4594198,Varies with device,"100,000,000+",Free,0,Everyone,Tools,"July 31, 2018",Varies with device,Varies with device
141,CT and XR Dose Calculator,MEDICAL,1.0,3,97k,50+,Paid,$0.99,Everyone,Medical,"January 22, 2014",2014.01,1.6 and up
142,A Manual of Acupuncture,MEDICAL,0.0,214,68M,"1,000+",Paid,$33.99,Everyone,Medical,"October 2, 2017",2.1.35,4.0 and up
143,Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL_AND_LOCAL,1.0,17878,28M,"1,000,000+",Free,0,Everyone,Travel & Local,"July 16, 2018",6.7.1,4.1 and up
144,Faceoff DP Battle App,FAMILY,1.0,38,6.7M,"1,000+",Free,0,Everyone,Entertainment,"June 15, 2018",5.2,4.4 and up
145,Basket Manager 2017 Free,SPORTS,1.0,2710,4.8M,"100,000+",Free,0,Everyone,Sports,"November 27, 2017",4.0,4.1 and up
146,Messenger for SMS,COMMUNICATION,1.0,125257,17M,"10,000,000+",Free,0,Teen,Communication,"June 6, 2018",1.8.9,4.1 and up
147,TunnelBear VPN,TOOLS,1.0,139480,Varies with device,"5,000,000+",Free,0,Everyone,Tools,"April 19, 2018",v150,4.1 and up
148,boattheory.ch Full 2018,FAMILY,1.0,54,50M,"1,000+",Paid,$19.40,Everyone,Education,"November 18, 2017",3.1.2,4.2 and up
149,Infinity Dungeon VIP,FAMILY,1.0,21804,44M,"1,000,000+",Paid,$0.99,Everyone 10+,Role Playing,"July 3, 2018",2.6.6,2.3 and up
150,"Candy selfie - photo editor, live filter camera",PHOTOGRAPHY,1.0,53421,26M,"10,000,000+",Free,0,Everyone,Photography,"August 6, 2018",2.74.685,4.0.3 and up
151,EP Search and Find,FAMILY,1.0,20,23M,500+,Free,0,Everyone,Casual,"May 27, 2015",1.0.0,2.3 and up
152,Van Nien 2018 - Lich Van su & Lich Am,LIFESTYLE,1.0,3829,23M,"1,000,000+",Free,0,Everyone,Lifestyle,"June 1, 2018",3.9.3,4.1 and up
153,DX Glow - Clock Widget,PERSONALIZATION,1.0,5,3.4M,50+,Paid,$0.99,Everyone,Personalization,"March 20, 2015",2.0,3.0 and up
154,Slice: Package Tracker,SHOPPING,1.0,16966,34M,"1,000,000+",Free,0,Everyone,Shopping,"July 12, 2018",6.10.0,4.0.3 and up
155,Football-CB GO Clock Theme,PERSONALIZATION,1.0,26,5.6M,"1,000+",Free,0,Everyone,Personalization,"March 3, 2017",1.0.3,4.0.3 and up
156,Ek Qissa He Quran Se (Qurani Waqiyat),FAMILY,1.0,4,2.0M,100+,Free,0,Everyone,Entertainment,"October 30, 2017",1.0,4.0 and up
157,ABG Master,MEDICAL,1.0,2,1.8M,50+,Paid,$0.99,Everyone,Medical,"August 4, 2018",1.1,4.1 and up
158,Shabad Gurubani Punjabi mp3 free - Ek Onkar Satnam,FAMILY,1.0,5,64M,100+,Free,0,Everyone,Entertainment,"January 19, 2018",1.1,4.4 and up
159,TattooSupplies.eu,SHOPPING,1.0,31,34M,"1,000+",Free,0,Everyone,Shopping,"August 9, 2017",1.3.1,4.1 and up
160,SpongeBob Diner Dash,FAMILY,0.0,576210,48M,"50,000,000+",Free,0,Everyone,Casual,"August 22, 2013",3.25.3,2.3.3 and up
161,DRAGON QUEST II,FAMILY,1.0,2576,44M,"10,000+",Paid,$4.99,Everyone,Role Playing,"March 9, 2018",1.0.5,4.0 and up
162,FP Boss,FINANCE,1.0,1,5.8M,1+,Free,0,Everyone,Finance,"July 27, 2018",1.0.2,5.0 and up
163,MCQ CE IT,FAMILY,1.0,22,3.6M,"1,000+",Free,0,Everyone,Education,"November 7, 2017",2.0,4.4 and up
164,Royale Tournaments,FAMILY,1.0,2420,6.7M,"50,000+",Free,0,Teen,Entertainment,"July 28, 2018",5.3.6.0,4.1 and up
165,SilverSingles: The 50+ Dating App,DATING,0.0,149,16M,"10,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.8.5,4.0.3 and up
166,Lose Weight in 30 Days,HEALTH_AND_FITNESS,1.0,220125,11M,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",1.0.14,4.0 and up
167,Free games: Masha and the Bear,FAMILY,1.0,34514,60M,"5,000,000+",Free,0,Everyone,Puzzle;Brain Games,"July 20, 2018",1.2.8,4.1 and up
168,Wallpapers Mercedes Benz CL,PERSONALIZATION,1.0,2,12M,100+,Free,0,Teen,Personalization,"March 5, 2017",1.0,4.1 and up
169,ABCmouse.com,FAMILY,1.0,50887,91M,"5,000,000+",Free,0,Everyone,Education;Education,"July 3, 2018",7.2.0,4.4 and up
170,Analog and Digital Clock AW-7,TOOLS,0.0,202,2.9M,"50,000+",Free,0,Everyone,Tools,"March 15, 2018",2.0,4.3 and up
171,DW - Breaking World News,NEWS_AND_MAGAZINES,1.0,17671,17M,"1,000,000+",Free,0,Everyone 10+,News & Magazines,"August 6, 2018",2.3.10,4.2 and up
172,Theatre of the Absurd CE(Full),FAMILY,1.0,1143,15M,"10,000+",Paid,$2.99,Everyone 10+,Casual,"May 21, 2013",1.0,2.0.1 and up
173,BX Memo,FAMILY,1.0,131,2.0M,"5,000+",Free,0,Everyone,Education,"November 17, 2016",3.3.1,2.2 and up
174,AP App for Android™,NEWS_AND_MAGAZINES,0.0,188,9.9M,"10,000+",Free,0,Everyone,News & Magazines,"May 12, 2016",1.0,4.0 and up
175,Block City Wars + skins export,FAMILY,1.0,762706,28M,"10,000,000+",Free,0,Teen,Simulation,"March 30, 2018",6.7.5,4.0 and up
176,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,1.0,21336,23M,"1,000,000+",Free,0,Everyone,Books & Reference,"June 20, 2018",1.28,3.0 and up
177,CTRL-F - Search the real world,PRODUCTIVITY,1.0,607,37M,"50,000+",Free,0,Everyone,Productivity,"July 24, 2016",1.1,4.0.3 and up
178,8 Ball Pool,GAME,1.0,14198297,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up
