App,Category,Rating,Reviews,Type,content_rating,new_genres,date_update,new_day,new_year,size_kb,new_installs,new_price,new_month_num,new_version,new_subversion,min_android,letters_app,words_app,rate_reviews_install,rate_version_subversion,rate_reviews_size,rate_installs_size,mean_reviews_category,mean_reviews_genres
BX Thailand - Crypto Tracking & Analyse Bitcoin,Finance,1,2,Free,Everyone,Finance,2018-03-10,10,2018,34000,100,0,3,1,7,,47,8,0.02,0.142857142857143,5.88235294117647e-05,0.00294117647058824,44660.4509803922,44660.4509803922
Nights at Cube Pizzeria 3D – 2,Game,0,47151,Free,Everyone 10+,Action,2017-12-26,26,2017,36000,5e+06,0,12,2,4,4.3,30,7,0.0094302,0.5,1.30975,138.888888888889,651322.235800344,473128.723404255
Dirt Trackin Sprint Cars,Game,0,499,Paid,Everyone,Racing,2018-05-10,10,2018,47000,10000,3.99,5,1,0,5,24,4,0.0499,0,0.0106170212765957,0.212765957446809,651322.235800344,602320.983050848
AK Interactive,Family,1,734,Free,Everyone,Entertainment,2018-07-12,12,2018,13000,10000,0,7,2,5,4,14,2,0.0734,0.4,0.0564615384615385,0.769230769230769,64330.0062836625,109901.17827298
Files To SD Card Pro,Tools,1,994,Free,Everyone,Tools,2018-05-18,18,2018,2800,1e+05,0,5,6,0,5,20,5,0.00994,0,0.355,35.7142857142857,300009.696252466,300009.696252466
MetaTrader 4,Finance,1,260547,Free,Everyone,Finance,2018-07-31,31,2018,,5e+06,0,7,,,,12,2,0.0521094,,,,44660.4509803922,44660.4509803922
Hidden Camera Detector,Tools,0,167,Free,Everyone,Tools,2017-11-08,8,2017,2500,10000,0,11,1,0,,22,3,0.0167,0,0.0668,4,300009.696252466,300009.696252466
My Boy! Free - GBA Emulator,Game,1,531074,Free,Everyone,Arcade,2018-01-09,9,2018,2500,1e+07,0,1,,,,27,6,0.0531074,,212.4296,4000,651322.235800344,337298.201754386
Anime Love Story Games: ✨Shadowtime✨,Family,1,198480,Free,Everyone,Simulation,2018-08-03,3,2018,82000,5e+06,0,8,20,0,4.1,36,5,0.039696,0,2.42048780487805,60.9756097560976,64330.0062836625,105866.105263158
သိင်္ Astrology - Min Thein Kha BayDin,Lifestyle,1,2225,Free,Everyone,Lifestyle,2018-07-26,26,2018,15000,1e+05,0,7,4,2,,38,7,0.02225,2,0.148333333333333,6.66666666666667,38441.6803652968,38441.6803652968
Automatic Call Recorder,Tools,1,1648515,Free,Everyone,Tools,2018-08-02,2,2018,7100,1e+08,0,8,5,42,2.3,23,3,0.01648515,0.119047619047619,232.185211267606,14084.5070422535,300009.696252466,300009.696252466
T-Mobile Content Transfer,Productivity,1,370,Free,Everyone,Productivity,2018-01-25,25,2018,29000,5e+05,0,1,2,1,4,25,3,0.00074,2,0.0127586206896552,17.2413793103448,152064.489270386,152064.489270386
Mas Akıllı Ev,House_and_home,1,13,Free,Everyone,House & Home,2018-04-18,18,2018,43000,100,0,4,3,2,4.4,13,3,0.13,1.5,0.000302325581395349,0.00232558139534884,22359.9285714286,22359.9285714286
Internet Speed Meter Lite,Tools,1,410303,Free,Everyone,Tools,2016-09-05,5,2016,,1e+07,0,9,,,,25,4,0.0410303,,,,300009.696252466,300009.696252466
Mcqueen Coloring pages,Art_and_design,1,61,Free,Everyone,Art & Design,2018-03-07,7,2018,7000,1e+05,0,3,1,0,4.1,22,3,0.00061,0,0.00871428571428571,14.2857142857143,10157.65625,9918
Be the Manager 2016 (football),Sports,1,4330,Free,Everyone,Sports,2017-10-19,19,2017,6100,1e+05,0,10,3,0,4,30,5,0.0433,0,0.709836065573771,16.3934426229508,102687.961904762,169652.671296296
Pick-a-Paint,Lifestyle,0,242,Free,Everyone,Lifestyle,2018-05-14,14,2018,36000,50000,0,5,1,2,3,12,1,0.00484,0.5,0.00672222222222222,1.38888888888889,38441.6803652968,38441.6803652968
ER Assist,Productivity,1,3,Free,Everyone,Productivity,2016-12-06,6,2016,28000,10,0,12,0,1,4.1,9,2,0.3,0,0.000107142857142857,0.000357142857142857,152064.489270386,152064.489270386
AE Roundy POP,Family,1,5262,Free,Everyone,Casual,2016-03-23,23,2016,26000,1e+05,0,3,1,1,2.3,13,3,0.05262,1,0.202384615384615,3.84615384615385,64330.0062836625,610450.131944445
Agar.io,Game,1,3816799,Free,Everyone,Action,2018-07-23,23,2018,32000,1e+08,0,7,2,2,,7,1,0.03816799,1,119.27496875,3125,651322.235800344,473128.723404255
Vote for,Video_players,1,193381,Free,Teen,Video Players & Editors,2018-08-03,3,2018,17000,5e+07,0,8,1,,,8,2,0.00386762,,11.3753529411765,2941.17647058824,329225.936170213,326179.12631579
CX-10WiFi,Family,0,1419,Free,Everyone,Casual,2017-10-25,25,2017,12000,1e+05,0,10,2,,4,9,1,0.01419,,0.11825,8.33333333333333,64330.0062836625,610450.131944445
TeachersPayTeachers,Education,0,828,Free,Everyone,Education,2017-10-01,1,2017,,1e+05,0,10,,,,19,1,0.00828,,,,154339.301369863,33912.0745920746
ESS Mobile for AE,Productivity,0,63,Free,Everyone,Productivity,2016-09-27,27,2016,1800,5000,0,9,2,0,3,17,4,0.0126,0,0.035,2.77777777777778,152064.489270386,152064.489270386
STARZ,Entertainment,1,88185,Free,Mature 17+,Entertainment,2018-06-20,20,2018,,1e+07,0,6,,,,5,1,0.0088185,,,,356413.698113208,109901.17827298
Freeletics: Personal Trainer & Fitness Workouts,Health_and_fitness,1,130104,Free,Everyone,Health & Fitness,2018-08-03,3,2018,25000,1e+07,0,8,5,3,5,47,6,0.0130104,1.66666666666667,5.20416,400,59146.6588235294,58696.7965116279
Moto Rider,Game,1,115176,Free,Teen,Racing,2018-06-15,15,2018,24000,1e+07,0,6,1,2,4,10,2,0.0115176,0.5,4.799,416.666666666667,651322.235800344,602320.983050848
Podcast App: Free & Offline Podcasts by Player FM,News_and_magazines,1,66384,Free,Teen,News & Magazines,2018-07-25,25,2018,19000,1e+06,0,7,4,1,4,49,9,0.066384,4,3.49389473684211,52.6315789473684,121595.671328671,121595.671328671
Phoenix and Arizona Cameras,Travel_and_local,1,134,Free,Everyone,Travel & Local,2018-06-20,20,2018,5300,10000,0,6,6,3,,27,4,0.0134,2,0.0252830188679245,1.88679245283019,160462.488721805,160462.488721805
TouchPal Keyboard for vivo,Tools,1,357,Free,Everyone,Tools,2018-05-30,30,2018,58000,1e+06,0,5,6,2,,26,4,0.000357,3,0.0061551724137931,17.2413793103448,300009.696252466,300009.696252466
Mopar Drag N Brag,Game,1,30630,Free,Everyone,Racing,2015-05-25,25,2015,17000,1e+06,0,5,1,2,4.1,17,4,0.03063,0.5,1.80176470588235,58.8235294117647,651322.235800344,602320.983050848
"Free Professional Resume Builder, CV, Cover Letter",Business,1,831,Free,Everyone,Business,2018-06-13,13,2018,11000,50000,0,6,1,3,4,50,7,0.01662,0.333333333333333,0.0755454545454545,4.54545454545455,17597.0037878788,17597.0037878788
F.A Sumon songs,Family,1,6,Free,Everyone,Entertainment,2018-03-18,18,2018,5400,1000,0,3,1,1,4.1,15,3,0.006,1,0.00111111111111111,0.185185185185185,64330.0062836625,109901.17827298
"My Airtel-Online Recharge, Pay Bill, Wallet, UPI",Productivity,1,1498393,Free,Everyone,Productivity,2018-08-02,2,2018,14000,5e+07,0,8,4,3,4.2,48,7,0.02996786,1.33333333333333,107.028071428571,3571.42857142857,152064.489270386,152064.489270386
dB Sound Meter,Tools,1,29,Free,Everyone,Tools,2016-04-25,25,2016,2300,5000,0,4,1,2,,14,3,0.0058,0.5,0.0126086956521739,2.17391304347826,300009.696252466,300009.696252466
Navy Gunner Shoot War 3D,Game,0,103199,Free,Teen,Action,2018-08-02,2,2018,44000,1e+07,0,8,1,0,4.2,24,5,0.0103199,0,2.34543181818182,227.272727272727,651322.235800344,473128.723404255
Remote For Pioneer AV Receivers and Blu-Ray,Tools,0,150,Free,Everyone,Tools,2018-06-01,1,2018,7300,50000,0,6,,11,4.1,43,7,0.003,,0.0205479452054795,6.84931506849315,300009.696252466,300009.696252466
Video Caller Id,Communication,1,15287,Free,Everyone,Communication,2018-01-24,24,2018,17000,1e+06,0,1,2,2,,15,3,0.015287,1,0.899235294117647,58.8235294117647,1284007.25128205,1284007.25128205
OptumRx,Medical,0,1838,Free,Everyone,Medical,2018-07-02,2,2018,21000,1e+05,0,7,2,11,,7,1,0.01838,0.181818181818182,0.0875238095238095,4.76190476190476,2982.98023715415,2982.98023715415
EP FCU,Finance,1,2,Free,Everyone,Finance,2018-03-22,22,2018,2800,100,0,3,3,0,4.1,6,2,0.02,0,0.000714285714285714,0.0357142857142857,44660.4509803922,44660.4509803922
News.aw,News_and_magazines,1,1,Free,Everyone,News & Magazines,2015-07-15,15,2015,1000,10,0,7,1,0,2.2,7,1,0.1,0,0.001,0.01,121595.671328671,121595.671328671
Tom Loves Angela,Family,1,1111915,Free,Everyone,Entertainment,2018-04-30,30,2018,50000,1e+08,0,4,2,2,4.1,16,3,0.01111915,1,22.2383,2000,64330.0062836625,109901.17827298
"Chispa, the Dating App for Latino, Latina Singles",Dating,1,4195,Free,Mature 17+,Dating,2018-07-25,25,2018,24000,1e+05,0,7,1,6,4.4,49,8,0.04195,0.166666666666667,0.174791666666667,4.16666666666667,19562.57,19562.57
Solitaire+,Game,1,11235,Paid,Everyone,Card,2018-07-30,30,2018,,1e+05,2.99,7,,,,10,1,0.11235,,,,651322.235800344,187139.371428571
Advanced Download Manager Pro,Tools,1,6505,Paid,Everyone,Tools,2017-11-03,3,2017,2000,50000,2.99,11,6,4,4,29,4,0.1301,1.5,3.2525,25,300009.696252466,300009.696252466
Recognise Foot,Medical,1,9,Paid,Everyone,Medical,2017-09-14,14,2017,95000,1000,7.49,9,1,0,4.1,14,2,0.009,0,9.47368421052632e-05,0.0105263157894737,2982.98023715415,2982.98023715415
Block Buddy,Medical,0,15,Paid,Everyone,Medical,2018-08-01,1,2018,5000,1000,14.99,8,7,6,4,11,2,0.015,1.16666666666667,0.003,0.2,2982.98023715415,2982.98023715415
Bo's School Day,Family,1,10,Paid,Everyone,Education,2017-12-18,18,2017,30000,1000,2.99,12,1,3,,15,3,0.01,0.333333333333333,0.000333333333333333,0.0333333333333333,64330.0062836625,33912.0745920746
Fruit Cube Blast,Family,1,9199,Free,Everyone,Puzzle,2018-08-03,3,2018,80000,5e+05,0,8,1,2,4.1,16,3,0.018398,0.5,0.1149875,6.25,64330.0062836625,180459.85
ColorSnap® Visualizer,House_and_home,0,3280,Free,Everyone,House & Home,2018-06-29,29,2018,77000,1e+06,0,6,5,0,,21,2,0.00328,0,0.0425974025974026,12.987012987013,22359.9285714286,22359.9285714286
TAMAGO Monsters Returns,Game,1,104583,Free,Everyone,Arcade,2016-08-18,18,2016,37000,1e+06,0,8,3,45,2.3,23,3,0.104583,0.0666666666666667,2.82656756756757,27.027027027027,651322.235800344,337298.201754386
Space X: Sky Wars of Air Force,Game,1,10748,Free,Everyone,Arcade,2018-08-04,4,2018,47000,1e+06,0,8,4,0,4.1,30,7,0.010748,0,0.22868085106383,21.2765957446809,651322.235800344,337298.201754386
AF Legendary 2017,Business,1,0,Free,Teen,Business,2017-09-30,30,2017,11000,50,0,9,,7,4.1,17,3,0,,0,0.00454545454545455,17597.0037878788,17597.0037878788
AO/OTA Fracture Classification,Medical,1,25,Free,Everyone,Medical,2018-04-17,17,2018,46000,5000,0,4,1,0,5,30,3,0.005,0,0.000543478260869565,0.108695652173913,2982.98023715415,2982.98023715415
Paint Space AR,Family,0,17,Free,Everyone,Entertainment,2018-03-07,7,2018,32000,1000,0,3,1,1,7,14,3,0.017,1,0.00053125,0.03125,64330.0062836625,109901.17827298
A-Z Punjabi Songs & Music Videos 2018,Family,1,367,Free,Everyone,Entertainment,2018-05-17,17,2018,5100,1e+05,0,5,1,0,4.1,37,7,0.00367,0,0.0719607843137255,19.6078431372549,64330.0062836625,109901.17827298
DM Adventure,Game,1,0,Free,Everyone,Adventure,2018-06-18,18,2018,11000,10,0,6,1,0,2.3,12,2,0,0,0,0.000909090909090909,651322.235800344,350283.321428571
EC Designer 2.0,Tools,1,0,Free,Everyone,Tools,2018-07-09,9,2018,12000,50,0,7,0,0,4,15,3,0,,0,0.00416666666666667,300009.696252466,300009.696252466
Axetatic - Axe Throwing Game,Game,1,29,Free,Everyone 10+,Arcade,2017-10-22,22,2017,31000,1000,0,10,1,3,4.2,28,5,0.029,0.333333333333333,0.000935483870967742,0.032258064516129,651322.235800344,337298.201754386
Toronto FC,Sports,0,144,Free,Teen,Sports,2018-05-11,11,2018,79000,10000,0,5,4,2,4.3,10,2,0.0144,2,0.00182278481012658,0.126582278481013,102687.961904762,169652.671296296
Gokarting.dk,Family,1,13,Free,Everyone,Entertainment,2018-03-25,25,2018,34000,1000,0,3,5,0,4.1,12,1,0.013,0,0.000382352941176471,0.0294117647058824,64330.0062836625,109901.17827298
Jobs in Canada - Emplois au Canada,Business,1,2,Free,Teen,Business,2018-08-05,5,2018,14000,1000,0,8,1,1,4.2,34,7,0.002,1,0.000142857142857143,0.0714285714285714,17597.0037878788,17597.0037878788
Learn R Programming,Books_and_reference,1,0,Free,Everyone,Books & Reference,2018-04-28,28,2018,29000,10,0,4,1,0,4.1,19,3,0,0,0,0.000344827586206897,49897.8571428571,49076.9917355372
Stylish Fonts,Personalization,0,153176,Free,Everyone,Personalization,2018-08-07,7,2018,4300,1e+07,0,8,1,17,,13,2,0.0153176,0.0588235294117647,35.6223255813954,2325.58139534884,131428.547169811,131428.547169811
UniFi,Tools,1,11018,Free,Everyone,Tools,2018-07-25,25,2018,25000,5e+05,0,7,1,7,4.1,5,1,0.022036,0.142857142857143,0.44072,20,300009.696252466,300009.696252466
Tafsiir Quraan MP3 Af Soomaali Quraanka Kariimka,Lifestyle,1,7,Free,Everyone,Lifestyle,2018-06-09,9,2018,3400,1000,0,6,1,4,4,48,7,0.007,0.25,0.00205882352941177,0.294117647058824,38441.6803652968,38441.6803652968
Miami Crime Vice Town,Game,1,154519,Free,Mature 17+,Action,2017-05-09,9,2017,99000,1e+07,0,5,1,4,2.3,21,4,0.0154519,0.25,1.56079797979798,101.010101010101,651322.235800344,473128.723404255
VMate Lite - Funny Short Videos Social Network,Social,1,903,Free,Teen,Social,2018-08-03,3,2018,4600,1e+06,0,8,1,,,46,8,0.000903,,0.196304347826087,217.391304347826,1290707.14925373,1290707.14925373
Dude Perfect,Sports,1,97,Free,Everyone,Sports,2017-06-28,28,2017,1900,10000,0,6,1,0,4.1,12,2,0.0097,0,0.0510526315789474,5.26315789473684,102687.961904762,169652.671296296
Skype for Business for Android,Business,0,78172,Free,Everyone,Business,2018-08-02,2,2018,,1e+07,0,8,,,,30,5,0.0078172,,,,17597.0037878788,17597.0037878788
Photo Lock App - Hide Pictures & Videos,Personalization,1,29203,Free,Everyone,Personalization,2017-12-10,10,2017,3300,5e+06,0,12,,0,4,39,8,0.0058406,,8.84939393939394,1515.15151515152,131428.547169811,131428.547169811
DIY CD Craft Ideas,Lifestyle,1,5,Free,Everyone,Lifestyle,2017-01-14,14,2017,4600,1000,0,1,1,0,2.3,18,4,0.005,0,0.00108695652173913,0.217391304347826,38441.6803652968,38441.6803652968
"NEW - Read Newspaper, News 24h",News_and_magazines,1,158196,Free,Everyone,News & Magazines,2018-07-27,27,2018,,1e+07,0,7,,,,30,6,0.0158196,,,,121595.671328671,121595.671328671
Insave-Download for Instagram,Photography,1,46242,Free,Everyone,Photography,2016-09-20,20,2016,5200,1e+06,0,9,2,1,4,29,3,0.046242,2,8.89269230769231,192.307692307692,379773.567901235,379773.567901235
Pujie Black Watch Face for Android Wear OS,Personalization,1,7264,Paid,Everyone,Personalization,2017-11-16,16,2017,,1e+05,1.99,11,3,6,,42,8,0.07264,0.5,,,131428.547169811,131428.547169811
AR Tank Battle,Game,0,153,Free,Everyone,Action,2016-12-31,31,2016,67000,10000,0,12,1,3,4,14,3,0.0153,0.333333333333333,0.00228358208955224,0.149253731343284,651322.235800344,473128.723404255
Z Origins - (Z The Game),Family,1,4421,Paid,Teen,Strategy,2014-11-05,5,2014,37000,50000,2.99,11,1,,2.2,24,6,0.08842,,0.119486486486487,1.35135135135135,64330.0062836625,1495469.45614035
BN Pro White HD Text,Libraries_and_demo,1,120,Free,Everyone,Libraries & Demo,2017-02-05,5,2017,782,10000,0,2,2,3,1.6,20,5,0.012,0.666666666666667,0.153452685421995,12.7877237851662,15650.9591836735,15650.9591836735
Voice Changer,Family,1,138050,Free,Everyone,Entertainment,2018-04-19,19,2018,5700,1e+07,0,4,2,4,,13,2,0.013805,0.5,24.219298245614,1754.38596491228,64330.0062836625,109901.17827298
BT Church,Lifestyle,1,26,Free,Teen,Lifestyle,2018-06-25,25,2018,8400,1000,0,6,3,8,4.1,9,2,0.026,0.375,0.0030952380952381,0.119047619047619,38441.6803652968,38441.6803652968
Live Hold’em Pro Poker - Free Casino Games,Game,1,1123190,Free,Teen,Card,2018-08-07,7,2018,,1e+07,0,8,,,,42,8,0.112319,,,,651322.235800344,187139.371428571
Samsung+,Lifestyle,1,82145,Free,Everyone,Lifestyle,2018-07-05,5,2018,30000,5e+07,0,7,10,19,4.4,8,1,0.0016429,0.526315789473684,2.73816666666667,1666.66666666667,38441.6803652968,38441.6803652968
RPG Dragon Lapis,Family,1,13492,Free,Teen,Role Playing,2018-07-09,9,2018,56000,1e+05,0,7,1,1,4.1,16,3,0.13492,1,0.240928571428571,1.78571428571429,64330.0062836625,172010.873015873
Denis Brogniart - AH !,Family,1,2931,Free,Everyone,Entertainment,2017-08-04,4,2017,818,1e+05,0,8,1,1,4.2,22,5,0.02931,1,3.58312958435208,122.249388753056,64330.0062836625,109901.17827298
At home - rental · real estate · room finding application such as apartment · apartment,House_and_home,0,2496,Free,Everyone,House & Home,2018-07-05,5,2018,,5e+05,0,7,,,,87,16,0.004992,,,,22359.9285714286,22359.9285714286
SeriesGuide – Show & Movie Manager,Entertainment,1,64448,Free,Mature 17+,Entertainment,2018-07-21,21,2018,4400,1e+06,0,7,,,,34,6,0.064448,,14.6472727272727,227.272727272727,356413.698113208,109901.17827298
Podcast Republic - Podcast Player & Radio Player,News_and_magazines,1,66978,Free,Teen,News & Magazines,2018-08-06,6,2018,,1e+06,0,8,,,,48,8,0.066978,,,,121595.671328671,121595.671328671
HD Video Download for Facebook,Video_players,1,20755,Free,Everyone,Video Players & Editors,2018-03-16,16,2018,17000,1e+06,0,3,4,0,4.1,30,5,0.020755,0,1.22088235294118,58.8235294117647,329225.936170213,326179.12631579
"Brilliant Quotes: Life, Love, Family & Motivation",Books_and_reference,1,67186,Free,Everyone 10+,Books & Reference,2018-05-18,18,2018,6300,1e+06,0,5,4,4,,49,7,0.067186,1,10.6644444444444,158.730158730159,49897.8571428571,49076.9917355372
Geeks Dating,Dating,1,0,Free,Mature 17+,Dating,2018-07-10,10,2018,13000,50,0,7,1,0,4.1,12,2,0,0,0,0.00384615384615385,19562.57,19562.57
Sprig by CO-OP,Finance,0,252,Free,Everyone,Finance,2017-10-11,11,2017,18000,10000,0,10,1,4,4.1,14,3,0.0252,0.25,0.014,0.555555555555556,44660.4509803922,44660.4509803922
Satellite Director,Tools,1,45610,Free,Everyone,Tools,2018-01-02,2,2018,176,1e+07,0,1,1,,1.6,18,2,0.004561,,259.147727272727,56818.1818181818,300009.696252466,300009.696252466
E-NUM,Finance,0,10374,Free,Everyone,Finance,2016-10-24,24,2016,,5e+05,0,10,,,,5,1,0.020748,,,,44660.4509803922,44660.4509803922
NEMA ei,Business,1,4,Free,Everyone,Business,2017-11-06,6,2017,12000,100,0,11,1,0,4.4,7,2,0.04,0,0.000333333333333333,0.00833333333333333,17597.0037878788,17597.0037878788
Smash Hit,Game,1,4147718,Free,Everyone,Arcade,2015-11-26,26,2015,79000,1e+08,0,11,1,4,2.3,9,2,0.04147718,0.25,52.5027594936709,1265.82278481013,651322.235800344,337298.201754386
EB-Banking (ersetzt),Finance,1,24,Free,Everyone,Finance,2018-04-18,18,2018,70000,1000,0,4,17,25,4.1,20,2,0.024,0.68,0.000342857142857143,0.0142857142857143,44660.4509803922,44660.4509803922
Loteria BR,Family,1,0,Free,Everyone,Entertainment,2017-05-17,17,2017,1800,50,0,5,1,0,4,10,2,0,0,0,0.0277777777777778,64330.0062836625,109901.17827298
Arrowhead AH App,Medical,1,3,Free,Everyone,Medical,2017-04-21,21,2017,28000,100,0,4,,0,,16,3,0.03,,0.000107142857142857,0.00357142857142857,2982.98023715415,2982.98023715415
EJ messenger,Communication,1,1,Free,Teen,Communication,2017-10-18,18,2017,25000,10,0,10,1,0,4,12,2,0.1,0,4e-05,4e-04,1284007.25128205,1284007.25128205
DV-2019 Results,Family,1,158,Free,Everyone,Entertainment,2018-06-14,14,2018,2600,10000,0,6,17,0,4,15,2,0.0158,0,0.0607692307692308,3.84615384615385,64330.0062836625,109901.17827298
Trimble Ag Mobile,Productivity,1,85,Free,Everyone,Productivity,2018-08-02,2,2018,44000,10000,0,8,2,7,4.1,17,3,0.0085,0.285714285714286,0.00193181818181818,0.227272727272727,152064.489270386,152064.489270386
Zen Leaf,Medical,1,1,Free,Mature 17+,Medical,2018-03-08,8,2018,6100,100,0,3,2,3,4.1,8,2,0.01,0.666666666666667,0.000163934426229508,0.0163934426229508,2982.98023715415,2982.98023715415
My C Spire,Productivity,1,376,Free,Everyone,Productivity,2018-07-23,23,2018,32000,50000,0,7,2,15,4.4,10,3,0.00752,0.133333333333333,0.01175,1.5625,152064.489270386,152064.489270386
EO KOREA,Business,1,0,Free,Teen,Business,2017-12-04,4,2017,14000,50,0,12,1,0,2.2,8,2,0,0,0,0.00357142857142857,17597.0037878788,17597.0037878788
Google Play Movies & TV,Video_players,0,906384,Free,Teen,Video Players & Editors,2018-08-06,6,2018,,1e+09,0,8,,,,23,5,0.000906384,,,,329225.936170213,326179.12631579
"Notes : Colorful Notepad Note,To Do,Reminder,Memo",Lifestyle,1,10484,Free,Everyone,Lifestyle,2018-06-09,9,2018,9000,1e+06,0,6,1,4,4.1,49,6,0.010484,0.25,1.16488888888889,111.111111111111,38441.6803652968,38441.6803652968
AEMET's time,Weather,0,15966,Free,Everyone,Weather,2017-07-17,17,2017,9200,1e+06,0,7,2,0,2.3,12,2,0.015966,0,1.7354347826087,108.695652173913,168071.108695652,168071.108695652
Masha and the Bear Child Games,Family,1,288523,Free,Everyone,Adventure,2018-05-08,8,2018,92000,1e+07,0,5,2,7,4,30,6,0.0288523,0.285714285714286,3.13611956521739,108.695652173913,64330.0062836625,350283.321428571
Strawberry Shortcake Ice Cream Island,Family,1,32029,Free,Everyone,Casual,2017-11-06,6,2017,15000,5e+06,0,11,1,2,4.1,37,5,0.0064058,0.5,2.13526666666667,333.333333333333,64330.0062836625,610450.131944445
Codes for GTA San Andreas,Family,0,12414,Free,Everyone,Entertainment,2017-08-04,4,2017,13000,1e+06,0,8,1,0,4.1,25,5,0.012414,0,0.954923076923077,76.9230769230769,64330.0062836625,109901.17827298
"CM Flashlight (Compass, SOS)",Tools,1,166367,Free,Everyone,Tools,2018-05-25,25,2018,1800,5e+06,0,5,1,4,2.3,28,4,0.0332734,0.25,92.4261111111111,2777.77777777778,300009.696252466,300009.696252466
Cops N Robbers 2,Game,1,63680,Free,Everyone 10+,Adventure,2018-06-02,2,2018,46000,1e+06,0,6,2,2,4.1,16,4,0.06368,1,1.38434782608696,21.7391304347826,651322.235800344,350283.321428571
English Communication - Learn English for Chinese (Learn English for Chinese),Education,1,2544,Free,Everyone,Education,2017-12-29,29,2017,18000,1e+05,0,12,3,1,4,77,11,0.02544,3,0.141333333333333,5.55555555555556,154339.301369863,33912.0745920746
Ek Maratha,Social,1,725,Free,Teen,Social,2016-10-12,12,2016,3700,10000,0,10,7,5,2.2,10,2,0.0725,1.4,0.195945945945946,2.7027027027027,1290707.14925373,1290707.14925373
乗換NAVITIME　Timetable & Route Search in Japan Tokyo,Maps_and_navigation,1,50459,Free,Everyone,Maps & Navigation,2018-07-26,26,2018,,5e+06,0,7,,,,50,7,0.0100918,,,,48306.2567567568,48306.2567567568
Myntra Online Shopping App,Shopping,1,1315242,Free,Everyone,Shopping,2018-07-21,21,2018,,5e+07,0,7,3,27,4.1,26,4,0.02630484,0.111111111111111,,,204691.669811321,204691.669811321
DB Welt - Die Zeitung der DB,News_and_magazines,1,145,Free,Everyone,News & Magazines,2016-02-26,26,2016,16000,10000,0,2,3,1,4,28,7,0.0145,3,0.0090625,0.625,121595.671328671,121595.671328671
DRAGON QUEST IV,Family,1,1647,Paid,Everyone,Role Playing,2017-02-28,28,2017,16000,10000,14.99,2,1,0,2.3,15,3,0.1647,0,0.1029375,0.625,64330.0062836625,172010.873015873
Insight Timer - Free Meditation App,Health_and_fitness,1,20161,Free,Everyone,Health & Fitness,2018-08-01,1,2018,,1e+06,0,8,,,,35,6,0.020161,,,,59146.6588235294,58696.7965116279
funny Image Comments for FB,Social,0,19,Free,Teen,Social,2018-02-13,13,2018,15000,5000,0,2,2,0,4.1,27,5,0.0038,0,0.00126666666666667,0.333333333333333,1290707.14925373,1290707.14925373
